genus	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
g_Ancylomarina A	357.5636	0	50778.4832	58707.712	6530.2151	55867.9347	31112.6294	0	8626.9036	0	41.6867	15.4708	250.1797	34791.5942	8.6042	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Marinifilaceae;g_Ancylomarina A
g_Cetobacterium A	189.0481	372.33	2924.2301	499.002	2185.6001	185.6741	1462.8399	163010.8708	36.0239	990.5767	3708.625	1200.4232	39081.3917	16175.918	103.3189	d_Bacteria;p_Fusobacteriota;c_Fusobacteriia;o_Fusobacteriales;f_Fusobacteriaceae;g_Cetobacterium A
g_Leucobacter	4524.3579	2527.002	227.2257	0	377.5235	117.9094	779.4185	399.8053	694.263	1914.7869	154.7262	4930.959	1908.3993	177.0091	192287.7035	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Microbacteriaceae;g_Leucobacter
g_Paracoccus	41298.8111	4000.8286	246.4984	86.3532	1711.7865	457.1075	204.389	1126.3004	753.4724	18059.4947	104.7309	129524.5653	6501.678	87.4704	4011.3406	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Paracoccus
g_TAE3-ERU5	45902.711	46524.955	1071.4849	0	1703.6213	754.3455	9654.8272	846.4594	68520.8335	15010.8693	132.0505	1265.9328	13152.7476	643.3097	2634.5286	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Dermabacteraceae;g_TAE3-ERU5
g_Kocuria	146984.4609	15217.021	164.6947	86.1445	395.685	575.5443	411.9616	8834.9249	1926.1662	9413.8951	774.3645	9670.9743	5440.0886	138.0564	2556.9763	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Kocuria
g_Unclassified_f_Vibrionaceae	2049.2636	449.9634	32833.8256	40405.054	6336.6555	37035.8644	26444.9986	3647.3396	17591.4593	30.0685	791.2103	64.5223	5891.7567	28031.4063	4.5327	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Vibrionaceae;g_Unclassified_f_Vibrionaceae
g_Arachnia	64523.6777	3952.6859	124.6917	0	407.5962	398.9767	352.2874	3227.7127	1258.8053	1821.3977	210.2323	10577.7313	5422.2154	42.9088	108111.1533	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Propionibacteriales;f_Propionibacteriaceae;g_Arachnia
g_Methylocystis	252.2103	0	40567.9373	47976.3973	5112.7914	43179.8476	22508.3953	2.262	11103.7374	5.3572	9.3973	40.3901	79.0202	26783.0126	11.6249	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Beijerinckiaceae;g_Methylocystis
g_Unclassified_f_Burkholderiaceae	5929.3603	706.2557	837.7027	830.4908	480.1007	630.8177	1989.6051	363.3951	1776.2256	362.1537	46.9013	131718.0119	1875.9753	735.8512	2254.3464	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Unclassified_f_Burkholderiaceae
g_UBA1444	532.4389	42.3796	22389.5371	32739.0605	5814.2562	30060.161	16268.9705	10.1468	10528.6701	0	19.5587	15.5511	99.5426	18933.8535	17.3412	d_Bacteria;p_Firmicutes C;c_Negativicutes;o_UBA1444;f_UBA1444;g_UBA1444
g_Giesbergeria	5148.6098	143.3049	15.1753	0	131.1303	0	70.2924	188.4835	1334.4606	132.4892	24.0139	119073.3069	532.1457	16.8187	722.6036	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Giesbergeria
g_Unclassified_f_Enterobacteriaceae	328.0473	96.4881	39.1465	284.3941	176.5957	652.0428	3513.4832	9560.5826	2377.5725	281.3933	66536.1261	1462.4899	33888.3823	678.1255	410.2972	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Unclassified_f_Enterobacteriaceae
g_Epulopiscium B	392.6292	930.978	20561.1247	25650.4291	2634.9854	24512.7935	15088.5601	0.9635	8256.5248	71.6397	16.988	2.176	20.5687	19109.5793	3.3722	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Cellulosilyticaceae;g_Epulopiscium B
g_Knoellia	92832.1804	7682.6411	141.5611	61.1216	420.5814	165.2021	236.1652	5195.5303	313.6034	657.5489	142.3365	115.8373	1490.2807	0	902.2904	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Dermatophilaceae;g_Knoellia
g_Clostridium	1259.1028	122.477	2257.582	0	59.5114	0	1640.4641	57329.3508	48.7126	21.5122	11221.674	838.7442	13962.0616	1188.0531	1713.0797	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium
g_Stenotrophomonas	13378.1781	147.2592	106.8179	10.9415	279.4072	17.3191	76.8275	739.3479	619.6218	124.1283	32.6597	3600.3753	17503.0005	22.4259	53489.4777	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Stenotrophomonas
g_Unclassified_c_Alphaproteobacteria	4401.0727	3653.9754	8012.9486	4977.8607	3235.2624	6902.8244	6460.048	126.9156	3386.2269	943.9437	32.3416	15913.8804	969.8958	4120.121	22925.9936	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Unclassified_c_Alphaproteobacteria;f_Unclassified_c_Alphaproteobacteria;g_Unclassified_c_Alphaproteobacteria
g_Aureibaculum	145.9199	0	18546.4173	18691.2602	1872.5968	22306.1543	9712.9177	0	1547.6603	0	13.1947	2.9234	12.8686	9618.8364	2.6944	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Flavobacteriales;f_Flavobacteriaceae;g_Aureibaculum
g_Boudabousia	8579.3455	10764.6614	200.9396	0	689.6243	582.9657	1747.6428	497.6263	7416.5014	12563.3035	367.9544	3374.0463	18722.2997	327.0885	16469.1821	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Actinomycetaceae;g_Boudabousia
g_Brevundimonas	3100.3509	331.9896	494.6173	39.3038	184.5762	102.4601	285.9964	286.1981	182.0459	209.5308	39.081	65063.0379	2682.4162	292.095	4832.5141	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Brevundimonas
g_Microbacterium	4973.3597	5982.8547	11254.429	12338.1643	3497.3326	11163.3876	7647.0275	403.46	5704.2179	2903.2167	43.6658	421.4041	585.6163	6856.7245	3241.8561	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Microbacteriaceae;g_Microbacterium
g_Unclassified_c_Gammaproteobacteria	1358.5509	3627.702	8391.3274	8217.8657	2417.2226	9721.1143	8319.3202	223.0262	4637.1091	551.9591	5880.6381	9715.9976	2213.5679	7384.8323	2907.428	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Unclassified_c_Gammaproteobacteria;f_Unclassified_c_Gammaproteobacteria;g_Unclassified_c_Gammaproteobacteria
