phylum	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
p_Nitrospirota	53.3296	1085.4511	820.6078	666.5523	298.2155	1166.6166	676.455	84.2777	557.4999	275.8928	23.5715	2.9234	1.0748	449.4982	0.2525	d_Bacteria;p_Nitrospirota
p_Elusimicrobiota	0	0	894.9855	1496.5373	105.5555	1255.1541	791.9296	3.8407	321.8112	0	18.8663	0	0	1073.2378	50.4423	d_Bacteria;p_Elusimicrobiota
p_Armatimonadota	141.3581	1125.1322	548.807	60.5396	235.9274	1366.6498	466.9967	0	625.4997	659.7996	0	0	0	356.477	1.3948	d_Bacteria;p_Armatimonadota
p_Desulfobacterota I	25.5095	278.3568	611.4499	422.3791	292.4766	1211.2224	940.4939	121.3865	614.8017	35.9808	6.2285	48.2467	24.3544	595.0511	6.4073	d_Bacteria;p_Desulfobacterota I
p_UBP6	0	0	895.2567	1082.0438	68.101	323.6435	1069.9596	0	295.1601	0	0	0	0	192.5978	0	d_Bacteria;p_UBP6
p_Deinococcota	1511.197	22.3294	506.6607	461.9325	382.735	0	0	89.0226	310.2945	173.1448	1.0864	41.4742	49.3709	286.2502	53.1755	d_Bacteria;p_Deinococcota
p_Dependentiae	0	0	618.618	379.3748	102.707	1181.7173	180.7468	0	0	0	11.9502	11.707	18.2943	239.4913	599.7945	d_Bacteria;p_Dependentiae
p_Firmicutes G	41.2853	0	1365.6945	307.6119	201.7482	370.2624	442.0221	20.2389	212.3497	61.288	6.132	182.2596	0	85.3271	0	d_Bacteria;p_Firmicutes G
p_Omnitrophota	29.5374	678.7053	652.2577	171.4318	223.3696	23.7988	844.1912	0	0	45.4226	0	0	0	500.0605	0	d_Bacteria;p_Omnitrophota
p_Eremiobacterota	0	0	35.1589	1138.6081	241.1049	211.7572	527.6144	0	140.3424	0	4.212	9.7561	0	776.7845	40.9718	d_Bacteria;p_Eremiobacterota
p_WOR-3	8.7689	0	1084.1709	620.9015	24.5943	596.3425	357.0792	0	12.152	0	0	0	0	119.1557	0	d_Bacteria;p_WOR-3
p_Firmicutes H	7.1378	0	534.8521	485.128	56.8081	574.5808	328.3823	8.8615	623.6569	0	0.6191	0	10.1028	112.8404	0.3955	d_Bacteria;p_Firmicutes H
p_Riflebacteria	116.0437	244.3431	306.1944	608.8446	86.8547	376.5626	190.5929	0	112.0281	0	0	0	11.3192	0	2.2158	d_Bacteria;p_Riflebacteria
p_Latescibacterota	9.5525	0	383.8339	384.7854	98.8098	335.457	507.5797	0	21.8694	0	0	2.4913	0	225.1821	0	d_Bacteria;p_Latescibacterota
