class	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
c_UBA727	0	0	0	82.0447	0	142.0821	89.8916	0	0	0	0	0	0	233.3525	0	d_Bacteria;p_Myxococcota;c_UBA727
c_DSM-4660	0	0	0	46.9027	25.0979	81.2244	108.6389	0	0	0	0	0	0	266.8024	0	d_Bacteria;p_Desulfobacterota;c_DSM-4660
c_Mor1	49.6097	135.3337	32.866	0	0	0	83.187	0	51.0018	166.1932	0	0	0	0	0	d_Bacteria;p_Acidobacteriota;c_Mor1
c_Cloacimonadia	0	0	168.7629	63.9186	0	166.0378	70.0318	0	0	0	0	0	0	45.4495	1.8489	d_Bacteria;p_Cloacimonadota;c_Cloacimonadia
c_UBA8468	42.5966	139.4425	137.7003	0	41.8617	0	28.5709	0	59.0308	24.3058	0	0	6.4221	18.542	0.5029	d_Bacteria;p_Ratteibacteria;c_UBA8468
c_Dethiobacteria	56.3558	102.4912	50.6053	0	12.8561	0	78.9694	0	0	35.7299	0	0	0	153.7495	0	d_Bacteria;p_Firmicutes D;c_Dethiobacteria
c_4484-113	0	0	0	347.4226	0	0	0	0	139.8168	0	0	0	0	0	0	d_Bacteria;p_4484-113;c_4484-113
c_Caldisericia	77.4083	337.8675	0	0	0	0	51.9201	0	0	0	0	0	0	0	0	d_Bacteria;p_Caldisericota;c_Caldisericia
c_GWC2-55-46	0	0	166.4405	0	0	0	0	0	28.5406	0	0	2.3199	0	268.9441	0	d_Bacteria;p_Desulfobacterota;c_GWC2-55-46
c_Unclassified_p_Acidobacteriota	12.9386	0	0	0	0	68.5843	0	0	376.5382	0	0	0	0	0	0	d_Bacteria;p_Acidobacteriota;c_Unclassified_p_Acidobacteriota
c_MWCZ01	0	0	59.5797	312.3294	36.2251	0	34.2201	0	0	0	0	2.4913	0	0	0	d_Bacteria;p_Latescibacterota;c_MWCZ01
c_JACPQY01	0	0	0	25.639	0	44.4007	0	0	0	0	0	0	0	364.6133	0	d_Bacteria;p_JACPQY01;c_JACPQY01
c_UBA1144	0	0	0	0	0	408.5624	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Desulfobacterota D;c_UBA1144
c_FAC87	0	0	297.4101	56.3217	0	0	0	0	38.2491	0	0	0	0	0	0	d_Bacteria;p_Bdellovibrionota;c_FAC87
c_AABM5-125-24	0	0	0	0	312.9233	0	0	0	0	22.7113	0	0	0	51.9768	0	d_Bacteria;p_AABM5-125-24;c_AABM5-125-24
c_O2-12-FULL-43-9	0	0	0	78.0823	41.7824	0	0	0	212.1084	0	0	0	0	55.5207	0	d_Bacteria;p_Bdellovibrionota E;c_O2-12-FULL-43-9
c_Dehalobacteriia	0	0	0	0	0	0	0	342.3512	0	0	1.8484	1.8192	24.3486	0	9.6905	d_Bacteria;p_Firmicutes B;c_Dehalobacteriia
c_JABDJQ01	25.5095	0	68.7198	0	0	0	85.5502	0	0	194.0785	0	0	0	0	0	d_Bacteria;p_JABDJQ01;c_JABDJQ01
c_Unclassified_p_Patescibacteria	64.6555	0	0	0	0	0	0	0	301.0222	0	0	0	0	0	2.7442	d_Bacteria;p_Patescibacteria;c_Unclassified_p_Patescibacteria
c_Chthonomonadetes	0	0	0	0	108.1426	0	110.7121	0	0	0	0	0	0	143.7005	1.3948	d_Bacteria;p_Armatimonadota;c_Chthonomonadetes
c_Syntrophia	0	0	53.9941	0	0	0	67.218	0	0	0	0	0	0	218.1169	3.4481	d_Bacteria;p_Desulfobacterota;c_Syntrophia
c_Thermotogae	0	0	0	0	0	0	0	0	0	0	292.4293	15.2578	14.2204	0	5.5535	d_Bacteria;p_Thermotogota;c_Thermotogae
c_UBA9980	0	0	0	238.3091	85.0139	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Wallbacteria;c_UBA9980
c_UBA890	0	0	0	0	0	46.3011	0	0	121.0476	0	0	0	0	152.0877	0	d_Bacteria;p_Acidobacteriota;c_UBA890
c_UBA5177	0	0	240.4508	0	0	23.6568	29.9341	0	0	0	0	0	0	19.4267	5.0646	d_Bacteria;p_Chloroflexota;c_UBA5177
c_CSP1-3	0	0	0	0	0	0	0	0	0	0	0	1.4127	0	297.3976	7.9577	d_Bacteria;p_CSP1-3;c_CSP1-3
c_WWE3	105.8887	0	0	0	0	0	0	0	88.045	100.7011	0	0	0	0	4.8715	d_Bacteria;p_Patescibacteria;c_WWE3
c_JACRHL01	0	0	0	51.0873	0	44.2356	55.9734	0	0	0	0	0	0	145.3032	0	d_Bacteria;p_Nitrospirota;c_JACRHL01
c_Deferribacteres	0	0	0	0	46.6408	0	0	0	0	0	0	0	0	247.9062	0.5603	d_Bacteria;p_Deferribacterota;c_Deferribacteres
c_RBG-16-71-46	0	0	150.5561	0	36.9533	0	0	0	0	85.8237	0	0	0	0	0.3329	d_Bacteria;p_Eisenbacteria;c_RBG-16-71-46
c_Brevinematia	0	0	80.8108	30.6069	32.7559	0	33.5342	0	0	0	0	0	0	87.0524	0	d_Bacteria;p_Spirochaetota;c_Brevinematia
c_UBA3073	0	0	53.5163	30.4037	0	78.9782	0	0	0	0	0	0	0	86.4747	0	d_Bacteria;p_WOR-3;c_UBA3073
c_GBS-1	14.9159	122.0701	20.0908	0	0	0	50.0227	0	20.6706	7.0926	0	0.8401	0	0	0	d_Bacteria;p_Synergistota;c_GBS-1
c_SHA-98	10.6391	0	0	0	0	0	35.6797	0	0	0	6.132	182.2596	0	0	0	d_Bacteria;p_Firmicutes G;c_SHA-98
c_UBA5377	80.4122	16.7433	49.978	0	0	0	20.5835	0	37.1454	2.9185	0	0	0	0	0	d_Bacteria;p_Armatimonadota;c_UBA5377
c_JADFXK01	0	0	26.7581	121.615	0	52.6521	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Desulfobacterota;c_JADFXK01
c_WYAZ01	0	0	0	0	87.753	0	71.8704	5.0477	0	0	0	1.207	0	23.3213	0.3162	d_Bacteria;p_Myxococcota;c_WYAZ01
c_Unclassified_p_Firmicutes B	0	0	0	0	0	0	0	115.9914	0	0	9.6521	2.0058	34.9981	17.3564	0.3321	d_Bacteria;p_Firmicutes B;c_Unclassified_p_Firmicutes B
c_2-12-FULL-45-22	0	0	59.5797	0	0	0	0	0	0	0	0	0	0	96.2723	0	d_Bacteria;p_Nitrospinota B;c_2-12-FULL-45-22
c_Syntrophobacteria	0	0	0	0	0	0	0	0	148.5814	0	0	0	0	0	0	d_Bacteria;p_Desulfobacterota;c_Syntrophobacteria
c_Geothermincolia	0	0	0	0	0	0	0	0	21.235	0	0	0	0	100.0509	0	d_Bacteria;p_Actinobacteriota;c_Geothermincolia
c_UBA8248	0	0	0	0	0	0	0	0	114.7472	0	0	0	0	0	0	d_Bacteria;p_UBA8248;c_UBA8248
c_NPL-UPA2	0	0	0	0	0	37.5375	0	0	0	0	0	0	0	30.8254	0	d_Bacteria;p_NPL-UPA2;c_NPL-UPA2
c_Desulfobaccia	0	0	67.568	0	0	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Desulfobacterota;c_Desulfobaccia
c_UBA2242	0	0	0	0	0	0	66.3297	0	0	0	0	0	0	0	0	d_Bacteria;p_Marinisomatota;c_UBA2242
c_CPR3	0	36.5058	0	0	0	0	0	0	0	19.0897	0	0	0	0	0	d_Bacteria;p_Patescibacteria;c_CPR3
c_JACPTQ01	10.564	0	0	0	0	0	0	0	0	0	0	0	31.8536	0	7.1708	d_Bacteria;p_Myxococcota;c_JACPTQ01
c_Aerophobia	0	0	0	0	48.3796	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Aerophobota;c_Aerophobia
c_Sumerlaeia	0	0	0	0	13.6432	0	27.9348	0	0	0	0	0	0	0	0	d_Bacteria;p_Sumerlaeota;c_Sumerlaeia
c_Thermoanaerobacteria	0	0	0	0	0	0	0	0	0	0	24.1043	3.7742	0	0	4.0459	d_Bacteria;p_Firmicutes A;c_Thermoanaerobacteria
c_Chrysiogenetes	0	0	0	0	0	0	26.4619	0	0	0	0	0	0	0	3.2602	d_Bacteria;p_Chrysiogenota;c_Chrysiogenetes
c_Dojkabacteria	0	0	0	0	0	0	0	0	0	0	0	25.3254	0	0	0.6032	d_Bacteria;p_Patescibacteria;c_Dojkabacteria
c_Endomicrobia	0	0	0	0	0	0	0	3.8407	0	0	14.6195	0	0	0	0	d_Bacteria;p_Elusimicrobiota;c_Endomicrobia
c_Leptospirillia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.0987	d_Bacteria;p_Nitrospirota A;c_Leptospirillia
c_UBA6077	0	0	0	0	0	0	0	0	0	0	0	0	4.5736	0	8.774	d_Bacteria;p_Chloroflexota;c_UBA6077
c_Peptococcia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.0249	d_Bacteria;p_Firmicutes B;c_Peptococcia
c_Thermosediminibacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.6255	d_Bacteria;p_Firmicutes A;c_Thermosediminibacteria
c_Unclassified_p_Desulfobacterota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.292	d_Bacteria;p_Desulfobacterota;c_Unclassified_p_Desulfobacterota
c_Ch29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2672	d_Bacteria;p_Firmicutes A;c_Ch29
c_TC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9665	d_Bacteria;p_Firmicutes B;c_TC1
c_DTU030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2207	d_Bacteria;p_DTU030;c_DTU030
