class	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
c_Dehalococcoidia	153.7416	525.3667	1776.2688	3275.3053	253.6724	2599.0295	1517.7277	47.1101	717.9001	19.5411	2.1591	19.7469	0	1202.9506	0	d_Bacteria;p_Chloroflexota;c_Dehalococcoidia
c_Gemmatimonadetes	235.5397	705.969	2739.5101	1746.2759	131.3855	1923.1616	2077.4178	0	490.6858	78.4036	2.294	36.9944	0	1475.8469	27.8391	d_Bacteria;p_Gemmatimonadota;c_Gemmatimonadetes
c_Kiritimatiellae	46.8688	489.0013	1398.2673	2743.7996	262.6494	2713.0163	921.0557	18.6341	721.6921	111.1081	0	55.5672	0	1530.2382	2.6501	d_Bacteria;p_Verrucomicrobiota;c_Kiritimatiellae
c_Lentisphaeria	18.1036	144.9432	2301.8004	2666.3189	180.8155	2016.6814	1797.5677	65.1074	249.9313	0	6.5304	2.0085	14.3409	1245.1894	0	d_Bacteria;p_Verrucomicrobiota;c_Lentisphaeria
c_Chlamydiia	70.9826	482.0818	2219.6078	993.4194	921.0697	1542.8399	1933.6842	0	1153.4962	229.6277	6.2449	23.8572	7.4384	641.4988	2.5018	d_Bacteria;p_Chlamydiota;c_Chlamydiia
c_Spirochaetia	61.5198	400.9898	996.8682	1745.2821	747.1686	1538.0474	983.8217	101.9497	718.5324	60.3512	0.4899	4.6477	28.6733	2693.8068	45.9213	d_Bacteria;p_Spirochaetota;c_Spirochaetia
c_Paceibacteria	54.7522	149.3622	1596.4185	2633.5817	651.9115	1291.6637	1020.8052	44.3877	157.6844	0	22.2523	6.817	0	2251.981	23.1635	d_Bacteria;p_Patescibacteria;c_Paceibacteria
c_Saccharimonadia	3573.3003	881.304	486.2075	749.5905	262.8233	154.0464	905.4323	497.6992	1156.3274	263.1891	40.4349	3.0588	10.095	650.9511	46.1524	d_Bacteria;p_Patescibacteria;c_Saccharimonadia
c_Synergistia	46.9305	85.3498	770.6002	1236.9155	360.3469	2237.613	1601.145	75.5941	209.5925	14.8771	48.505	3.2453	6.9353	1038.4426	10.2031	d_Bacteria;p_Synergistota;c_Synergistia
c_Marinisomatia	144.9456	849.3859	1770.3996	1386.1701	806.8678	603.0372	1647.862	34.3773	140.3424	78.6529	0	21.3324	0	74.5926	0	d_Bacteria;p_Marinisomatota;c_Marinisomatia
c_Kapabacteria	0	96.4386	1176.3504	1521.4904	266.3501	1390.6974	1084.979	0	303.0177	0	10.4337	5.1344	20.1627	1665.2602	3.8342	d_Bacteria;p_Bacteroidota;c_Kapabacteria
