class	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
c_Fibrobacteria	14.0982	0	1216.1239	1128.9174	228.4474	957.3285	595.2537	0	410.1222	0	2.1831	0.1415	0	794.4031	0.2409	d_Bacteria;p_Fibrobacterota;c_Fibrobacteria
c_Dehalococcoidia	109.9051	218.4956	741.4475	1314.9543	155.686	1038.6661	614.8268	42.7831	340.5697	16.1629	1.9874	17.3773	0	602.738	0	d_Bacteria;p_Chloroflexota;c_Dehalococcoidia
c_Gemmatimonadetes	168.38	293.6066	1143.5223	701.0867	80.635	768.5649	841.5555	0	232.7799	64.8496	2.1117	32.5551	0	739.4726	25.9136	d_Bacteria;p_Gemmatimonadota;c_Gemmatimonadetes
c_Kiritimatiellae	33.5051	203.3715	583.6627	1101.5678	161.1954	1084.2194	373.1168	16.9226	342.3686	91.9004	0	48.8992	0	766.7254	2.4668	d_Bacteria;p_Verrucomicrobiota;c_Kiritimatiellae
c_Spirochaetia	43.9786	166.7683	416.1112	700.6877	458.5587	614.6593	398.5431	92.5857	340.8697	49.9181	0.4509	4.09	25.5783	1349.7311	42.7451	d_Bacteria;p_Spirochaetota;c_Spirochaetia
c_Chlamydiia	50.7432	200.4937	926.5054	398.8334	565.2868	616.5746	783.3295	0	547.2152	189.9309	5.7485	20.9943	6.6354	321.4228	2.3288	d_Bacteria;p_Chlamydiota;c_Chlamydiia
c_Lentisphaeria	12.9417	60.2806	960.8141	1070.4612	110.9716	805.9388	728.1891	59.1274	118.5667	0	6.0113	1.7675	12.7929	623.9017	0	d_Bacteria;p_Verrucomicrobiota;c_Lentisphaeria
c_Paceibacteria	39.1406	62.1185	666.3746	1057.3181	400.0968	516.1955	413.525	40.3108	74.805	0	20.4834	5.999	0	1128.3544	21.5614	d_Bacteria;p_Patescibacteria;c_Paceibacteria
c_Synergistia	33.5491	35.4963	321.6628	496.591	221.1552	894.231	648.6189	68.6508	99.4301	12.3052	44.6493	2.8558	6.1867	520.3113	9.4974	d_Bacteria;p_Synergistota;c_Synergistia
c_Marinisomatia	103.6171	353.2525	738.9976	556.5131	495.1979	240.9955	667.5438	31.2198	66.578	65.0558	0	18.7725	0	37.3746	0	d_Bacteria;p_Marinisomatota;c_Marinisomatia
c_Kapabacteria	0	40.108	491.0305	610.8408	163.4667	555.7729	439.5216	0	143.7507	0	9.6043	4.5183	17.9863	834.3781	3.569	d_Bacteria;p_Bacteroidota;c_Kapabacteria
c_Binatia	19.2357	207.9067	786.7743	713.4761	111.968	411.633	219.6829	0	232.1197	135.1378	0	0	4.1301	466.8276	1.6229	d_Bacteria;p_Desulfobacterota B;c_Binatia
c_Magnetococcia	77.4052	193.6774	311.7709	552.7566	459.6374	406.2947	557.5838	7.1402	203.1067	0	0	16.0543	22.6814	466.4821	0	d_Bacteria;p_Proteobacteria;c_Magnetococcia
c_ABY1	142.2916	377.2164	409.2957	402.8564	80.8865	949.0674	161.8072	0	191.8429	165.2946	3.8772	0	24.7469	296.8635	5.5878	d_Bacteria;p_Patescibacteria;c_ABY1
c_UBA2214	1.3105	0	778.3395	492.9563	75.249	560.6101	285.5561	3.6588	47.1879	0	293.3522	10.144	168.6197	404.6699	1.075	d_Bacteria;p_KSB1;c_UBA2214
c_Desulfuromonadia	21.6495	128.1356	378.0294	453.0522	251.4174	363.4473	579.4472	7.2207	97.0525	25.1877	0	2.2515	0	717.7786	26.0863	d_Bacteria;p_Desulfobacterota;c_Desulfuromonadia
c_Holophagae	153.0903	569.5612	211.7333	191.5003	403.5509	317.9795	251.4844	58.3793	142.1106	243.5587	1.6311	11.9679	13.3001	321.7635	1.5469	d_Bacteria;p_Acidobacteriota;c_Holophagae
c_Elusimicrobia	0	0	373.5836	600.8228	64.7824	501.605	320.8082	0	152.6663	0	3.9092	0	0	537.7454	46.9534	d_Bacteria;p_Elusimicrobiota;c_Elusimicrobia
c_Desulfobacteria	100.0652	395.6863	417.8861	81.4788	352.9303	477.4688	208.2337	58.046	68.7211	30.0756	1.1209	41.3291	34.7335	284.3774	21.8334	d_Bacteria;p_Desulfobacterota;c_Desulfobacteria
c_Chloroflexia	160.676	405.3924	192.3734	290.5683	143.3213	653.0833	256.4823	6.4889	56.2409	68.6975	0	5.1834	16.0965	186.6103	85.1035	d_Bacteria;p_Chloroflexota;c_Chloroflexia
c_Unclassified_p_Bacteroidota	22.9449	17.5192	450.3416	313.8288	101.8403	335.5048	293.5639	5.8601	102.8065	0	0	176.3048	0	629.7073	20.2198	d_Bacteria;p_Bacteroidota;c_Unclassified_p_Bacteroidota
c_Desulfovibrionia	18.236	115.7662	255.2305	169.5748	179.5013	484.0483	380.9911	110.2373	291.6601	29.7607	5.7334	42.4571	21.7255	298.1502	5.9642	d_Bacteria;p_Desulfobacterota I;c_Desulfovibrionia
c_Ktedonobacteria	116.0877	0	722.1403	73.3441	624.5028	126.665	459.7093	0	1.4204	0	0	3.6147	0	213.5997	53.3701	d_Bacteria;p_Chloroflexota;c_Ktedonobacteria
c_Blastocatellia	73.0294	289.3266	341.6486	311.238	122.1978	456.0872	258.9521	8.8106	65.2254	97.2	6.0202	6.0065	0	350.6205	1.8565	d_Bacteria;p_Acidobacteriota;c_Blastocatellia
c_Deinococci	1080.3076	9.2866	211.4896	185.4545	234.8954	0	0	80.846	147.2028	143.2125	1	36.4974	44.0417	143.4256	49.4976	d_Bacteria;p_Deinococcota;c_Deinococci
c_Rhodothermia	39.3004	291.0694	318.3271	264.3004	255.2736	328.4941	190.829	7.8396	29.7219	0	0	30.3739	21.847	497.6954	0	d_Bacteria;p_Bacteroidota;c_Rhodothermia
c_Vampirovibrionia	0	45.4796	216.1064	173.3777	107.3016	593.7422	554.3299	46.6192	58.3429	47.2982	0	0	0	291.0866	0	d_Bacteria;p_Cyanobacteria;c_Vampirovibrionia
c_UBA9160	77.9462	873.7197	189.7367	0	17.9808	373.8109	56.5662	0	249.9391	108.6646	0	1.9824	0	150.4176	0	d_Bacteria;p_Myxococcota A;c_UBA9160
c_XYA12-FULL-58-9	66.4935	238.455	96.1004	706.0814	204.2673	244.3137	177.3692	0	65.3797	86.6721	0	1.9824	0	211.0138	0	d_Bacteria;p_Myxococcota;c_XYA12-FULL-58-9
c_Nitrospinia	9.5807	0	468.3093	382.6625	101.2771	224.575	193.9633	22.4208	245.679	41.2249	0	0	0	329.7476	0.4799	d_Bacteria;p_Nitrospinota;c_Nitrospinia
c_Nitrospiria	38.1236	58.8869	342.5369	247.094	118.5495	448.544	202.1658	0	264.4763	102.0694	0	2.5726	0.9588	152.4168	0.235	d_Bacteria;p_Nitrospirota;c_Nitrospiria
c_Microgenomatia	31.2517	385.8992	135.1337	382.2216	142.0014	191.1799	221.598	0	107.718	78.2266	0	2.7055	0	244.5903	1.1247	d_Bacteria;p_Patescibacteria;c_Microgenomatia
c_Humimicrobiia	26.6844	126.8145	285.4362	145.2513	21.2886	317.5379	344.5617	94.9058	228.6961	29.3079	0	0	24.6459	213.5856	0.2902	d_Bacteria;p_Actinobacteriota;c_Humimicrobiia
c_Vicinamibacteria	83.427	184.3529	113.0169	129.1276	147.6958	312.4651	571.3122	18.5676	70.5865	24.1293	0	1.8467	6.0747	104.8439	57.0633	d_Bacteria;p_Acidobacteriota;c_Vicinamibacteria
c_Unclassified_p_Nitrospinota	0	0	401.5886	313.4814	25.643	486.35	207.9368	0	100.6236	0	0	0	0	250.3675	0	d_Bacteria;p_Nitrospinota;c_Unclassified_p_Nitrospinota
c_Babeliae	0	0	258.2226	152.3096	63.0342	472.257	73.22	0	0	0	11.0003	10.3022	16.3196	119.997	558.3098	d_Bacteria;p_Dependentiae;c_Babeliae
c_Bradymonadia	3.7582	41.4685	284.7237	133.9144	161.855	437.456	382.9949	0	13.9743	33.543	0	0.5175	0	226.5737	0.1434	d_Bacteria;p_Myxococcota;c_Bradymonadia
c_Brachyspirae	740.6613	0	200.4937	0	445.5553	176.7218	56.7726	4.8998	0	0	1.582	10.5959	20.1948	58.0616	2.5903	d_Bacteria;p_Spirochaetota;c_Brachyspirae
c_UBA1177	0	0	373.6967	434.4139	41.7955	129.3396	433.4373	0	140.0231	0	0	0	0	96.5011	0	d_Bacteria;p_UBP6;c_UBA1177
c_Unclassified_p_Chloroflexota	40.1041	34.7101	549.733	101.6316	43.3652	266.4532	253.9225	0	43.2384	0	0	0	5.1433	269.1798	0	d_Bacteria;p_Chloroflexota;c_Unclassified_p_Chloroflexota
c_Leptospirae	0	100.3688	197.599	468.6642	62.6621	207.5012	169.3997	0	103.6158	34.7941	0	0	0	215.4554	0	d_Bacteria;p_Spirochaetota;c_Leptospirae
c_Sericytochromatia	3.4217	0	349.0391	139.9905	46.7243	257.8775	319.3444	0	47.2008	0	4.953	0	0	340.204	0	d_Bacteria;p_Cyanobacteria;c_Sericytochromatia
c_Desulfotomaculia	0	10.5898	288.0579	666.2941	74.5979	153.3	65.5984	4.209	29.3208	51.3954	0	0	0	113.3512	0	d_Bacteria;p_Firmicutes B;c_Desulfotomaculia
c_Koll11	21.1153	282.2678	272.2644	68.8256	137.0883	9.5108	341.9793	0	0	37.5702	0	0	0	250.5552	0	d_Bacteria;p_Omnitrophota;c_Koll11
