KEGG_L3	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	description
ko00730	164.5438	76.4811	20.2967	4.5551	136.9238	29.2538	49.2795	393.86	54.0688	226.3398	372.3713	212.6184	359.9736	59.8757	186.2981	Metabolism; Metabolism of cofactors and vitamins; Thiamine metabolism
ko00740	66.7744	21.0015	18.5945	11.3765	73.2943	7.6085	24.7575	157.805	22.8214	61.219	190.7936	89.5462	153.8916	35.6056	126.4288	Metabolism; Metabolism of cofactors and vitamins; Riboflavin metabolism
ko00750	119.5773	39.1741	35.4977	10.6448	138.9255	26.9975	46.5439	68.511	47.7139	85.7403	229.9618	167.9202	119.4147	72.1309	173.3965	Metabolism; Metabolism of cofactors and vitamins; Vitamin B6 metabolism
ko00760	112.605	45.2594	31.4447	13.6288	76.0236	23.0421	26.858	86.0886	34.0991	118.2338	127.4971	125.9684	138.5908	41.7882	144.3095	Metabolism; Metabolism of cofactors and vitamins; Nicotinate and nicotinamide metabolism
ko00770	243.0455	132.6722	24.3983	5.1314	219.9476	13.5502	46.7269	189.8859	58.9419	200.6291	357.8293	272.0238	256.0972	94.3057	287.733	Metabolism; Metabolism of cofactors and vitamins; Pantothenate and CoA biosynthesis
ko00780	220.6135	64.0492	21.294	2.263	344.2112	2.3087	58.2065	414.8141	73.9928	201.1688	344.3772	449.74	339.9216	88.7233	317.2081	Metabolism; Metabolism of cofactors and vitamins; Biotin metabolism
ko00785	149.6309	29.0573	0	1.5027	7.9366	0.6746	12.5348	27.3412	28.5578	121.4479	69.44	113.3453	69.5358	2.0003	148.0432	Metabolism; Metabolism of cofactors and vitamins; Lipoic acid metabolism
ko00790	129.2677	44.4199	16.5314	6.1538	169.5731	16.3859	23.5655	146.1433	42.8558	126.9881	212.7202	163.7409	155.2481	76.589	140.5883	Metabolism; Metabolism of cofactors and vitamins; Folate biosynthesis
ko00791	0	0	0	0	0	0	0	0	0	0	1.4566	2.4618	0	0	27.5079	Metabolism; Xenobiotics biodegradation and metabolism; Atrazine degradation
ko00830	27.3797	19.0327	71.7346	54.8012	21.8982	49.3911	36.767	6.715	24.0367	16.3341	9.646	16.9417	7.3126	42.5598	37.8858	Metabolism; Metabolism of cofactors and vitamins; Retinol metabolism
ko00860	82.4885	27.3833	19.9222	15.3727	89.9305	13.5635	21.3857	146.1269	24.9334	75.0362	172.3435	132.9464	140.4094	43.8337	119.1091	Metabolism; Metabolism of cofactors and vitamins; Porphyrin metabolism
ko00900	153.7975	59.8738	28.2634	9.2406	148.0531	3.8241	26.7774	157.1607	55.469	230.9284	166.3055	201.3315	200.4562	62.9355	186.4698	Metabolism; Metabolism of terpenoids and polyketides; Terpenoid backbone biosynthesis
ko00903	126.0827	0	0	0	0	0	0	0	0	0	0	243.3847	0	0	318.8633	Metabolism; Metabolism of terpenoids and polyketides; Limonene and pinene degradation
ko00906	4.8514	1.865	0	0	0.4285	0	0.1331	2.1771	1.2452	13.3611	0.2119	21.5246	2.5518	0.3532	12.7899	Metabolism; Metabolism of terpenoids and polyketides; Carotenoid biosynthesis
ko00909	0.1907	0	0	0	0	0	0	0	0	0	0	0.033	0	0	1.0148	Metabolism; Metabolism of terpenoids and polyketides; Sesquiterpenoid and triterpenoid biosynthesis
ko00910	94.5268	22.1354	20.6152	10.1988	97.7665	3.1337	22.4383	140.7867	19.2898	62.6214	194.4284	143.9879	110.173	38.4408	99.3341	Metabolism; Energy metabolism; Nitrogen metabolism
