KEGG_L3	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	description
ko04215	0.9405	0	3.3759	2.0742	16.4812	4.7478	6.8791	0	0.3456	0	0	0	0	6.9817	0	Cellular Processes; Cell growth and death; Apoptosis - multiple species
ko04216	42.5911	48.6288	29.2786	64.9781	14.8473	44.4326	25.2625	0	27.7693	69.8913	18.6481	0	0	21.366	80.161	Cellular Processes; Cell growth and death; Ferroptosis
ko04217	34.6004	46.759	35.1611	24.5622	27.1016	28.1576	41.7616	0	20.1915	34.1407	0	0	0	20.0349	0	Cellular Processes; Cell growth and death; Necroptosis
ko04218	3.5795	22.6493	11.1125	11.567	1.7378	13.2849	13.1435	0.4009	9.7008	1.3081	0	0	0	6.7089	0	Cellular Processes; Cell growth and death; Cellular senescence
ko04260	36.0369	72.0564	218.5766	273.6419	114.6103	275.7279	188.6644	0	90.8748	19.6978	0	0	0	231.0941	0	Organismal Systems; Circulatory system; Cardiac muscle contraction
ko04261	21.593	54.4556	176.315	202.4019	55.0239	223.4458	148.6322	0.5897	74.1366	13.8434	0.381	0	0	163.0286	0.08	Organismal Systems; Circulatory system; Adrenergic signaling in cardiomyocytes
ko04270	28.1077	119.5847	424.0953	461.7262	158.8634	403.9782	304.1201	0	109.1889	33.0865	0.8147	0	0	384.7627	0.839	Organismal Systems; Circulatory system; Vascular smooth muscle contraction
ko04310	2.2255	3.158	12.3322	16.7085	6.2637	12.3501	5.6768	0.0059	8.4722	1.8124	0	0.137	0	8.7423	0.0243	Environmental Information Processing; Signal transduction; Wnt signaling pathway
ko04320	0	0	26.0106	41.5005	3.9219	13.4997	11.3423	0	2.8196	0	0	0	0	26.4536	0	Organismal Systems; Development and regeneration; Dorso-ventral axis formation
ko04330	5.4692	4.5571	121.3574	125.309	24.8062	89.2359	39.0972	0.4296	38.2142	2.4736	0	0.0657	0	91.3559	0.0633	Environmental Information Processing; Signal transduction; Notch signaling pathway
ko04340	28.0446	82.663	62.5344	46.0212	74.2015	55.4527	63.5283	0	28.8784	25.9708	0.407	0.6371	2.1044	37.1614	0.0961	Environmental Information Processing; Signal transduction; Hedgehog signaling pathway
ko04341	3.8399	8.3727	13.102	20.0573	9.2062	14.284	17.2942	0.289	5.4776	5.0366	0	0	0	6.504	0	Environmental Information Processing; Signal transduction; Hedgehog signaling pathway - fly
ko04350	2.4387	9.2076	37.0719	48.3465	17.9454	44.8499	26.6911	0.3137	17.9337	4.6405	0.1216	0.1048	0.291	33.457	0.0357	Environmental Information Processing; Signal transduction; TGF-beta signaling pathway
ko04360	3.4664	9.5915	29.9398	39.5779	12.4183	35.7142	34.1042	0	22.4629	3.3269	0.0863	0.2102	1.1605	31.7753	0.0107	Organismal Systems; Development and regeneration; Axon guidance
ko04361	4.2213	6.9955	26.5085	47.205	21.9077	23.8565	19.4946	20.0613	7.971	0.7786	14.6921	8.7582	0	39.5791	6.4948	Organismal Systems; Development and regeneration; Axon regeneration
ko04370	0	0	9.5056	4.617	0.9442	10.9434	0	0	0	0	0	0	0	3.0728	0	Environmental Information Processing; Signal transduction; VEGF signaling pathway
ko04371	8.5531	27.2644	40.4771	45.1125	6.4703	52.5521	46.6315	0	32.0672	1.7485	0	0	0	28.8663	0	Environmental Information Processing; Signal transduction; Apelin signaling pathway
ko04380	0.6868	4.504	17.6854	15.6597	0.5083	10.1705	22.8164	0	2.9448	1.8799	0	0.0338	0	9.6205	0	Organismal Systems; Development and regeneration; Osteoclast differentiation
ko04390	2.9964	6.2452	22.291	17.7867	21.283	27.625	24.1584	0	13.2744	3.8192	0.0422	0.0737	0.6409	17.2853	0.0264	Environmental Information Processing; Signal transduction; Hippo signaling pathway
ko04391	0.2491	0	28.8034	23.2453	9.0103	31.803	20.6925	0	13.5411	0	0	0	0.12	20.5566	0	Environmental Information Processing; Signal transduction; Hippo signaling pathway - fly
ko04392	0.2819	0	16.1881	25.2607	3.9377	22.6623	15.1984	0	8.8785	0	0	0	0	16.0755	0	Environmental Information Processing; Signal transduction; Hippo signaling pathway - multiple species
ko04510	9.6729	55.9775	55.4109	56.2569	31.3623	52.6599	40.6709	0.7904	24.1935	5.8177	1.5927	0.3124	0	57.0807	0.2084	Cellular Processes; Cellular community - eukaryotes; Focal adhesion
ko04512	20.8424	136.7471	65.0601	70.615	47.2494	49.3036	64.762	1.5859	24.3801	25.283	0.6591	0.193	1.0672	79.3916	0.3329	Environmental Information Processing; Signaling molecules and interaction; ECM-receptor interaction
ko04514	5.0972	8.9782	74.1835	91.9548	21.0884	83.168	55.2405	0.0952	43.8779	6.3784	0.0547	0.0766	0.3729	73.9243	0.0246	Environmental Information Processing; Signaling molecules and interaction; Cell adhesion molecules
ko04520	3.476	3.4764	30.1315	35.5937	27.3846	47.3034	24.769	1.3413	17.2252	1.7922	0	0.1529	0.8858	20.3677	0.0328	Cellular Processes; Cellular community - eukaryotes; Adherens junction
ko04530	27.0086	95.5888	426.7007	455.6821	140.3518	404.7226	301.7282	1.2866	121.8725	29.2518	0.6588	0.4786	4.9688	393.844	0.1863	Cellular Processes; Cellular community - eukaryotes; Tight junction
ko04540	1.9772	4.2272	55.5139	36.4266	16.1627	37.5017	35.5047	0.0838	32.1093	1.7474	0.0918	0	0	40.2775	0.0678	Cellular Processes; Cellular community - eukaryotes; Gap junction
ko04550	2.3787	7.2176	8.9577	12.7546	6.4593	8.5611	14.3792	0	9.8511	2.4781	0.0106	0.0494	0	5.5528	0.0093	Cellular Processes; Cellular community - eukaryotes; Signaling pathways regulating pluripotency of stem cells
ko04610	1.8658	6.4323	22.7193	24.9919	8.3329	22.3582	25.4233	0.1536	6.9806	2.3445	0.1708	0.1056	0	29.3735	0.0218	Organismal Systems; Immune system; Complement and coagulation cascades
ko04611	3.9231	116.1293	65.8579	58.3858	34.9924	48.5373	36.0104	0.0559	40.932	2.1637	0.316	0.2806	0	59.7896	0.0549	Organismal Systems; Immune system; Platelet activation
ko04612	5.9036	15.0027	62.7578	44.7265	38.7287	42.1646	29.439	0	24.3527	5.0362	0	6.1027	0	36.0788	6.4129	Organismal Systems; Immune system; Antigen processing and presentation
ko04613	4.0035	15.5576	26.0212	32.2296	10.4324	21.8637	24.1689	1.1135	11.214	6.0193	0	0	0	19.7218	0.0241	Organismal Systems; Immune system; Neutrophil extracellular trap formation
ko04614	13.0691	8.1998	17.7383	5.9949	13.4887	3.4447	3.8776	1.8657	6.0609	14.0588	0	0	1.9282	6.909	0	Organismal Systems; Endocrine system; Renin-angiotensin system
ko04620	0.2589	0.3978	12.2835	19.4237	1.2872	10.7636	27.5244	0	2.2331	0	0	0	0	10.9393	0	Organismal Systems; Immune system; Toll-like receptor signaling pathway
ko04621	17.2751	10.2841	20.7604	22.7716	31.5478	18.3099	29.2527	29.592	8.559	28.0529	19.628	23.6603	22.5644	19.2643	14.3817	Organismal Systems; Immune system; NOD-like receptor signaling pathway
ko04622	3.5655	2.4771	38.0309	30.4837	2.1375	19.7399	38.5565	3.9526	5.0075	6.9131	1.8634	0.5336	3.3531	22.0656	3.8013	Organismal Systems; Immune system; RIG-I-like receptor signaling pathway
ko04623	0.7964	0	12.8577	25.0432	0	17.0025	52.2595	0	1.6945	0	0	0	0.492	11.9279	0	Organismal Systems; Immune system; Cytosolic DNA-sensing pathway
ko04624	0	0	17.7383	51.6874	6.0398	42.7367	37.7565	0	7.2794	0	0.2222	0	0.7386	46.1606	0	Organismal Systems; Immune system; Toll and Imd signaling pathway
ko04625	5.0351	29.4278	19.749	29.8517	4.2551	15.1247	32.1304	0	4.3046	1.1609	0	0	0	15.3805	0.067	Organismal Systems; Immune system; C-type lectin receptor signaling pathway
ko04626	33.1495	19.1613	0	0	0	0	0	0	13.1593	0	0	41.2471	0	0	0	Organismal Systems; Environmental adaptation; Plant-pathogen interaction
ko04630	7.1677	27.2525	10.6515	6.0888	13.5022	12.8079	18.9794	0	4.2921	3.3907	0	0	0	5.1038	0	Environmental Information Processing; Signal transduction; JAK-STAT signaling pathway
ko04640	0.4918	5.1263	13.8792	11.2033	7.0158	9.2817	8.1596	0	2.547	0.9277	0	0	0	7.7835	0	Organismal Systems; Immune system; Hematopoietic cell lineage
ko04650	0.8895	0	1.5515	0	1.8476	0.0886	3.3709	0	0.055	0	0	0	0	0.2769	0	Organismal Systems; Immune system; Natural killer cell mediated cytotoxicity
ko04657	1.1303	0.4075	26.5173	31.121	21.0348	25.4451	31.1355	0	5.8246	0	0	0	0	25.6993	0	Organismal Systems; Immune system; IL-17 signaling pathway
ko04658	1.1509	7.5856	38.8356	62.0585	11.1267	35.3837	52.7246	0	10.8581	0	0	0	0	34.8038	0	Organismal Systems; Immune system; Th1 and Th2 cell differentiation
ko04659	1.4607	6.2413	13.4586	25.4619	16.6572	11.6629	33.3611	0	5.2176	0.2183	0	0	0	17.5987	0	Organismal Systems; Immune system; Th17 cell differentiation
ko04660	0	0	19.6446	33.6546	5.4807	16.587	26.8622	0	5.7149	0	0	0.0505	0	17.3114	0	Organismal Systems; Immune system; T cell receptor signaling pathway
ko04662	1.4416	7.0368	19.7437	36.0554	9.2127	16.9209	44.3624	0.2499	5.2769	1.2796	0	0	0.4411	16.1241	0	Organismal Systems; Immune system; B cell receptor signaling pathway
ko04664	3.9242	19.8122	13.3159	20.6545	6.5762	14.9341	15.9072	0	1.2007	6.2509	0	0	0	14.96	0	Organismal Systems; Immune system; Fc epsilon RI signaling pathway
ko04666	1.3065	6.3771	15.1285	9.5896	5.6426	17.6052	8.0725	0	1.9632	1.1597	0	0	0	5.311	0	Organismal Systems; Immune system; Fc gamma R-mediated phagocytosis
ko04668	0.3154	0	28.1994	30.5986	7.5997	25.5306	35.898	0	4.6462	0	0	0	0	17.9372	0	Environmental Information Processing; Signal transduction; TNF signaling pathway
ko04670	9.6172	16.6902	98.2966	101.3127	40.3405	116.5975	79.6228	1.4551	67.0536	6.7283	2.6963	0	2.4646	103.9794	0.079	Organismal Systems; Immune system; Leukocyte transendothelial migration
ko04672	0	7.0427	6.5224	0	4.1977	3.2493	7.1974	0	1.8104	1.9531	0	0	0	1.6992	0	Organismal Systems; Immune system; Intestinal immune network for IgA production
ko04710	0	0	0	0	0	3.5018	0	0	0	0	0	0	0	0	0	Organismal Systems; Environmental adaptation; Circadian rhythm
ko04711	0	0	0	0	0	8.1708	0	0	0	0	0	0	0	0	0	Organismal Systems; Environmental adaptation; Circadian rhythm - fly
ko04713	5.7891	8.6546	58.91	47.0604	16.6331	55.0975	49.3618	0.0628	48.5941	2.154	0	0	0	57.604	0.0121	Organismal Systems; Environmental adaptation; Circadian entrainment
ko04714	17.8149	23.1803	38.5138	36.9285	34.2869	31.1386	37.7088	0	22.7353	16.7451	0	0	0	28.7522	0	Organismal Systems; Environmental adaptation; Thermogenesis
ko04720	2.1264	9.9713	11.102	11.2383	8.3906	9.3864	11.5804	0	13.9153	3.2437	0.2989	0	0	3.1202	0	Organismal Systems; Nervous system; Long-term potentiation
ko04721	6.6338	32.2422	44.1084	51.9901	31.5596	43.2707	47.2395	3.1038	19.8084	4.241	0	0	0	38.9018	0	Organismal Systems; Nervous system; Synaptic vesicle cycle
ko04722	0.1922	0	11.2704	24.9993	5.5833	12.3188	15.539	0.1611	7.6289	0	0	0.0482	0.2843	16.296	0.0141	Organismal Systems; Nervous system; Neurotrophin signaling pathway
ko04723	6.4192	20.1855	14.1638	24.0673	9.5436	15.6046	18.1802	0	15.7379	3.37	0.2997	0	0	18.9978	0.0336	Organismal Systems; Nervous system; Retrograde endocannabinoid signaling
ko04724	20.5809	17.6524	34.6519	35.2059	27.347	35.3496	38.0218	28.7733	16.6365	20.7448	22.1862	15.1146	17.9714	30.598	27.1805	Organismal Systems; Nervous system; Glutamatergic synapse
ko04725	2.4352	16.7665	22.1231	16.204	12.7683	14.6267	26.2154	0	8.4411	1.8664	0	0	0	23.3428	0.0085	Organismal Systems; Nervous system; Cholinergic synapse
ko04726	7.2225	16.8426	27.6611	28.762	7.7176	28.0642	24.6254	0	8.5402	5.472	0	0	0	29.7553	0	Organismal Systems; Nervous system; Serotonergic synapse
ko04727	33.3777	44.1368	20.4313	13.5729	28.8968	15.1239	32.3688	62.2549	21.884	28.4381	33.5089	19.975	0	21.3748	34.5056	Organismal Systems; Nervous system; GABAergic synapse
ko04728	5.1776	8.3954	12.5912	5.5045	5.3344	10.8491	15.8095	0.1606	11.0367	2.3625	0.1888	0	0	9.6911	2.2367	Organismal Systems; Nervous system; Dopaminergic synapse
ko04730	2.579	9.814	87.6599	58.2167	29.7359	61.8343	54.1978	1.3255	40.23	2.2792	0.1197	0	0	74.8272	0.0211	Organismal Systems; Nervous system; Long-term depression
ko04740	33.7367	118.1019	132.8225	118.2419	65.1078	71.647	103.2406	0.6448	58.8225	19.6365	0.5459	0.2714	0	80.0065	0.0392	Organismal Systems; Sensory system; Olfactory transduction
ko04742	11.0869	27.9698	3.952	4.225	18.5929	0.4249	15.3908	0	7.664	4.5415	0.6217	0	0	1.2498	0	Organismal Systems; Sensory system; Taste transduction
ko04744	1.6821	0	46.4981	34.3337	2.2387	3.0022	18.5995	0	1.8634	0	0	0.4665	2.7384	3.091	0	Organismal Systems; Sensory system; Phototransduction
ko04745	0	0	0	3.3137	5.4212	8.5683	0	0	8.8637	0	0	0	0	8.8218	0	Organismal Systems; Sensory system; Phototransduction - fly
ko04750	6.1351	34.4855	10.7826	6.4415	9.0583	11.0757	2.7862	0.89	8.1223	4.4148	0.1946	0.2039	0	6.2887	0.9516	Organismal Systems; Sensory system; Inflammatory mediator regulation of TRP channels
ko04810	17.3735	71.4489	249.402	262.2297	89.2088	242.1134	175.7289	0.8759	63.2293	18.2461	1.6165	0.3801	3.1956	227.6373	0.1446	Cellular Processes; Cell motility; Regulation of actin cytoskeleton
ko04910	29.2938	36.4404	25.3383	13.5306	22.8879	25.059	28.745	7.6688	23.5996	19.7007	8.9247	9.6304	8.6755	21.1779	13.5488	Organismal Systems; Endocrine system; Insulin signaling pathway
ko04911	5.6728	11.288	27.2682	54.2258	6.5049	40.5658	28.2595	0	26.8596	4.9905	0.1934	0	0	24.6198	0.0124	Organismal Systems; Endocrine system; Insulin secretion
ko04912	0.9049	6.8553	13.383	9.2951	6.3222	12.0434	10.0733	0.2231	1.0868	1.0544	0.2055	0	0	8.2567	0	Organismal Systems; Endocrine system; GnRH signaling pathway
ko04913	3.1856	15.676	41.6767	54.0419	8.6976	64.0749	35.7463	0	18.0816	5.6455	0.0977	0	0	72.9891	0.0212	Organismal Systems; Endocrine system; Ovarian steroidogenesis
ko04914	2.7319	4.9155	23.939	25.6677	16.0491	26.7982	20.2619	0	13.0343	1.1792	20.9639	0	0	30.1146	4.4923	Organismal Systems; Endocrine system; Progesterone-mediated oocyte maturation
ko04915	4.9095	8.9088	42.6261	55.5143	24.0206	60.9067	49.0611	16.2375	25.4384	0.9978	0	0	0	47.5159	3.7996	Organismal Systems; Endocrine system; Estrogen signaling pathway
ko04916	1.1989	3.7298	15.5927	21.6979	1.1539	20.9068	17.8556	0	10.4969	1.9685	0	0	0	11.0292	0.497	Organismal Systems; Endocrine system; Melanogenesis
ko04917	6.5874	11.8539	7.9302	1.3061	4.0425	2.8586	18.1951	0	2.4765	5.6812	0	0	0	10.5614	0	Organismal Systems; Endocrine system; Prolactin signaling pathway
ko04918	6.0995	22.0889	50.6454	74.6974	30.9752	61.5699	38.9604	8.6777	19.4068	9.1094	28.0258	16.423	19.0364	38.7913	15.3148	Organismal Systems; Endocrine system; Thyroid hormone synthesis
ko04919	21.0721	59.7354	160.1976	182.3162	45.2336	161.9444	115.2933	34.1351	51.6012	64.5707	20.1332	0	0	139.0235	9.0557	Organismal Systems; Endocrine system; Thyroid hormone signaling pathway
ko04920	43.6853	25.2298	60.6508	79.8865	16.1023	48.0823	63.3167	0	23.3553	44.6007	0	26.3518	0	29.5101	0	Organismal Systems; Endocrine system; Adipocytokine signaling pathway
ko04921	7.6447	19.6718	40.3148	42.4111	23.512	54.5835	34.3475	0.1541	35.6726	4.503	0	0	0	38.618	0.0215	Organismal Systems; Endocrine system; Oxytocin signaling pathway
ko04922	114.6763	76.2907	58.6775	49.9772	32.9756	52.6822	51.7096	158.4938	48.3467	317.5913	86.3741	118.7271	147.1796	33.4964	105.3511	Organismal Systems; Endocrine system; Glucagon signaling pathway
ko04923	1.7714	5.2839	66.7296	51.1723	9.8268	41.0567	38.0442	0	42.8824	1.2212	0	0	0	41.9155	0	Organismal Systems; Endocrine system; Regulation of lipolysis in adipocytes
ko04924	4.1098	14.5909	65.2607	43.712	23.6295	40.5951	44.5311	0	37.2092	5.2509	0.4077	1.6352	0	47.7334	0.4867	Organismal Systems; Endocrine system; Renin secretion
ko04925	4.3121	15.0204	31.0069	28.2795	12.3121	44.7522	25.995	0	6.5364	9.1733	0.1993	0	0	20.1127	0.0128	Organismal Systems; Endocrine system; Aldosterone synthesis and secretion
ko04926	1.5651	107.4075	18.034	33.0968	9.9061	34.2581	29.8266	0	9.9188	1.9067	0	0	0	29.8469	0	Organismal Systems; Endocrine system; Relaxin signaling pathway
ko04927	2.9653	14.1329	13.5412	9.6601	8.4508	9.6237	16.834	0	9.9052	9.5809	0.2435	0	0	20.4937	0	Organismal Systems; Endocrine system; Cortisol synthesis and secretion
ko04928	4.3361	7.5541	34.0654	35.5362	14.4639	40.4683	23.3107	0.2414	18.3653	2.7916	0	0	0.2865	38.5511	0.5162	Organismal Systems; Endocrine system; Parathyroid hormone synthesis, secretion and action
ko04929	1.1137	12.807	1.8553	2.9202	5.7643	0	6.1713	0	4.6905	4.8324	0	0	0	6.0984	0	Organismal Systems; Endocrine system; GnRH secretion
ko04930	31.6472	20.6845	8.4835	18.7154	11.9334	11.1061	19.3665	56.3471	9.2475	99.19	27.2585	0	0	8.298	24.2935	Human Diseases; Endocrine and metabolic disease; Type II diabetes mellitus
ko04931	44.3767	38.5574	30.0992	45.0145	25.7218	42.3521	33.3946	22.16	32.7328	61.1121	23.5485	19.1266	31.7362	33.7525	25.9893	Human Diseases; Endocrine and metabolic disease; Insulin resistance
ko04932	10.3653	27.6661	13.9526	6.6344	42.7983	9.2036	19.1911	0	9.4127	8.1605	0	0	0	21.0085	0	Human Diseases; Endocrine and metabolic disease; Non-alcoholic fatty liver disease
ko04933	3.403	142.5053	9.2822	9.2742	10.913	17.2986	18.0941	0.1879	5.572	3.1031	0	0	0	13.3916	0	Human Diseases; Endocrine and metabolic disease; AGE-RAGE signaling pathway in diabetic complications
ko04934	7.2758	10.9666	13.4295	8.7295	5.8652	9.8763	15.6402	0	9.1919	9.9568	0	0	0	14.7915	7.1545	Human Diseases; Endocrine and metabolic disease; Cushing syndrome
ko04935	2.0894	13.1324	13.0495	9.7108	6.4805	12.7612	19.4989	0	8.2762	2.1885	0	0.0662	0	7.7129	0.0083	Organismal Systems; Endocrine system; Growth hormone synthesis, secretion and action
ko04936	12.7123	12.2077	30.3097	39.1691	11.2704	25.1737	30.8129	0	6.019	9.4126	0	0	0	21.0931	0	Human Diseases; Endocrine and metabolic disease; Alcoholic liver disease
ko04940	91.2401	59.4012	39.1413	22.7302	71.9687	18.5636	43.0768	0	37.9039	59.9555	50.7144	30.5575	91.1225	43.2018	30.2665	Human Diseases; Endocrine and metabolic disease; Type I diabetes mellitus
ko04960	1.0842	3.9085	19.8366	47.3398	0	28.3983	18.5492	0	3.7759	3.3873	0	0	0	29.8659	0.0324	Organismal Systems; Excretory system; Aldosterone-regulated sodium reabsorption
ko04961	3.661	6.7109	89.9097	97.8065	16.9459	108.6361	55.9701	0	20.4333	2.5903	0.565	0	0	56.0415	0.0248	Organismal Systems; Excretory system; Endocrine and other factor-regulated calcium reabsorption
ko04962	0.8218	4.6215	24.2818	35.8383	8.9811	43.1007	20.1004	0	14.0323	1.6021	0.1566	0	0	44.0198	0.0052	Organismal Systems; Excretory system; Vasopressin-regulated water reabsorption
ko04964	113.3139	39.3105	72.8723	92.1225	7.6116	112.8617	43.3196	138.0082	41.2093	97.2984	127.3923	58.2622	0	48.298	90.0477	Organismal Systems; Excretory system; Proximal tubule bicarbonate reclamation
ko04966	1.6587	45.0926	0	0	33.3122	2.4576	8.3256	1.9852	16.4	0	0	0	0	5.0605	0.0637	Organismal Systems; Excretory system; Collecting duct acid secretion
ko04970	3.409	3.5652	80.8023	59.3897	19.8159	72.887	42.1063	0.0786	30.3245	3.1575	7.8284	2.0515	3.4618	51.224	0.3917	Organismal Systems; Digestive system; Salivary secretion
ko04971	2.5856	7.105	25.5675	32.9753	2.8032	30.4918	19.2215	0	21.6177	2.9337	0	0	0	24.1332	0.0168	Organismal Systems; Digestive system; Gastric acid secretion
ko04972	6.6427	4.4624	64.9416	81.1988	12.6191	78.2021	61.171	0	35.0417	1.2581	7.1296	1.9585	0	46.7267	0.3462	Organismal Systems; Digestive system; Pancreatic secretion
ko04973	4.3813	32.2569	17.2648	53.7851	1.3722	30.349	25.0151	0	4.7816	6.1507	22.4408	5.1541	7.1663	26.6627	1.074	Organismal Systems; Digestive system; Carbohydrate digestion and absorption
ko04974	26.373	188.4296	107.7193	120.4129	41.3514	95.9977	84.8685	1.0139	37.8176	10.9697	0.6372	1.1378	1.1698	84.1065	1.8344	Organismal Systems; Digestive system; Protein digestion and absorption
ko04975	52.5714	89.6783	29.1322	46.8464	6.7015	24.5363	34.2858	27.155	37.0301	90.9042	58.719	120.3522	0	43.4775	0	Organismal Systems; Digestive system; Fat digestion and absorption
ko04976	6.2664	17.6859	31.9485	52.0239	4.7819	34.8574	16.8566	0	11.8437	11.0803	0.0641	0.0958	0	34.9247	0	Organismal Systems; Digestive system; Bile secretion
ko04977	1.5173	25.0342	7.5246	0	16.3042	0.6392	13.6907	0.582	2.6833	1.0702	0.1606	0	0	0.831	0	Organismal Systems; Digestive system; Vitamin digestion and absorption
ko04978	126.245	535.9958	134.6147	98.4824	277.398	122.0768	303.1399	29.9759	68.6428	144.6704	16.3997	45.4612	0	110.208	31.4414	Organismal Systems; Digestive system; Mineral absorption
ko04979	5.9217	12.8698	72.0794	85.6341	26.698	107.4713	46.062	0	41.2251	2.7823	0	0	0	54.4059	0	Organismal Systems; Digestive system; Cholesterol metabolism
ko05010	8.9922	18.4333	33.5791	23.6147	34.478	33.0758	38.105	0	15.9658	7.799	0	0	0	23.1188	0	Human Diseases; Neurodegenerative disease; Alzheimer disease
ko05012	20.5279	26.2317	35.2658	24.3782	35.8987	33.4828	37.7569	14.5951	19.5534	24.1731	0	0	0	25.2374	0	Human Diseases; Neurodegenerative disease; Parkinson disease
ko05014	12.0617	23.9208	27.512	17.9376	33.6282	23.1394	27.006	0	12.5303	11.8053	4.3561	0	0	24.1399	0	Human Diseases; Neurodegenerative disease; Amyotrophic lateral sclerosis
ko05016	11.8913	18.27	39.3512	26.6853	37.624	31.9213	36.8962	5.3409	15.5166	11.089	0	0	11.8101	25.1763	15.0253	Human Diseases; Neurodegenerative disease; Huntington disease
ko05017	2.0458	3.1448	32.1028	30.4933	12.1274	30.3488	33.325	1.7986	10.4991	0.8932	0.0374	9.7527	0	25.6335	5.5687	Human Diseases; Neurodegenerative disease; Spinocerebellar ataxia
ko05020	11.7181	25.2429	41.7015	34.5796	38.8032	40.9967	44.4554	0	25.3673	7.9545	0	0	0	33.1471	8.9597	Human Diseases; Neurodegenerative disease; Prion disease
ko05022	9.4919	15.7269	26.0927	18.4282	26.4956	24.05	27.8086	0	14.4216	6.6834	0	0	0	18.6291	8.9784	Human Diseases; Neurodegenerative disease; Pathways of neurodegeneration - multiple diseases
ko05030	9.8055	6.6619	22.1382	7.2626	2.8697	19.8783	23.921	0	14.7171	3.2742	0.0678	6.0481	0.1119	22.1658	4.697	Human Diseases; Substance dependence; Cocaine addiction
ko05031	8.6253	9.817	8.558	0	8.8154	4.3016	13.782	0.2932	10.5682	3.0399	0.3448	5.2592	0.0973	10.7796	4.0844	Human Diseases; Substance dependence; Amphetamine addiction
ko05032	11.3753	33.3595	24.4897	17.7316	13.5896	15.7968	25.8742	0.2231	11.4217	5.2644	0	0	0	16.0587	0.047	Human Diseases; Substance dependence; Morphine addiction
ko05033	22.9335	61.7818	21.1775	32.5418	22.351	9.1839	25.6055	0	10.3585	9.9395	0.4628	0.2326	0	19.0968	0.1074	Human Diseases; Substance dependence; Nicotine addiction
ko05034	4.5607	4.2459	16.5654	7.0876	1.7249	12.1126	15.0527	0	10.839	1.5229	0.0315	0	0	13.8369	2.1847	Human Diseases; Substance dependence; Alcoholism
ko05100	8.7998	9.7649	27.2659	25.7658	33.1557	28.434	32.8453	1.7409	15.6926	4.5394	0.3705	0.3625	1.2472	26.798	0.0674	Human Diseases; Infectious disease: bacterial; Bacterial invasion of epithelial cells
ko05110	0.5971	16.2333	0.5488	7.19	14.4346	3.9693	9.6271	0.7147	9.4158	0	0	0	0	4.9976	0	Human Diseases; Infectious disease: bacterial; Vibrio cholerae infection
ko05111	39.0964	0	2.6381	0.5727	48.0053	0	13.3851	40.5112	8.8179	18.745	210.3958	122.7706	84.1662	16.6906	48.1153	Cellular Processes; Cellular community - prokaryotes; Biofilm formation - Vibrio cholerae
ko05120	0	0	5.8373	11.8334	6.774	5.4222	21.7342	0	4.0154	0	0	0	0	11.9532	0	Human Diseases; Infectious disease: bacterial; Epithelial cell signaling in Helicobacter pylori infection
ko05130	24.3476	70.8662	293.5627	314.8665	117.0614	275.4352	214.639	0	86.0266	27.1589	0	0	0	273.8453	0	Human Diseases; Infectious disease: bacterial; Pathogenic Escherichia coli infection
ko05131	1.4446	3.3783	24.0809	23.6505	20.3829	23.2894	20.9722	0	5.8817	0.3961	0	0	0	22.1595	0	Human Diseases; Infectious disease: bacterial; Shigellosis
ko05132	16.4627	10.3645	26.8261	25.0129	37.7802	24.8059	29.3701	0	12.5507	22.764	0	0	0	29.299	0	Human Diseases; Infectious disease: bacterial; Salmonella infection
ko05133	1.9059	0	25.0056	25.8296	5.27	24.7436	16.2734	0	9.3937	0	9.3284	8.0637	8.3512	17.4862	5.5709	Human Diseases; Infectious disease: bacterial; Pertussis
ko05134	49.7353	26.023	32.8544	41.8079	78.9568	20.8243	34.1796	15.1968	27.2502	33.2144	30.8155	47.5859	36.3399	39.1768	40.5904	Human Diseases; Infectious disease: bacterial; Legionellosis
ko05135	1.1524	4.301	23.8364	23.9551	4.1351	17.9769	19.9147	0	4.6919	1.5215	0	0	0	16.412	0.0113	Human Diseases; Infectious disease: bacterial; Yersinia infection
ko05140	2.0709	21.2272	19.2227	29.8262	14.1026	14.5619	33.3725	0	7.3678	8.2675	0	0	0	18.2075	0	Human Diseases; Infectious disease: parasitic; Leishmaniasis
ko05142	1.4564	2.9492	27.5965	33.9109	5.9689	29.4532	41.7417	0	8.6847	1.5819	0	0	0	20.4312	0	Human Diseases; Infectious disease: parasitic; Chagas disease
ko05143	0	67.4787	4.3911	0	14.5222	0.5635	3.221	0	2.5675	8.9148	0	0.2964	0	2.0387	0	Human Diseases; Infectious disease: parasitic; African trypanosomiasis
ko05144	0	0	24.7185	0	9.5098	0	25.8221	0	11.0136	0	0	0	0	0	0	Human Diseases; Infectious disease: parasitic; Malaria
ko05145	2.9454	14.6309	26.8832	36.7628	12.2398	23.8874	45.5353	0	13.5402	2.9629	0	0	0	28.3848	0	Human Diseases; Infectious disease: parasitic; Toxoplasmosis
ko05146	4.5157	120.2523	6.1367	4.7315	8.8059	11.349	9.3392	0	3.0008	3.8746	0	0	0	8.7303	0	Human Diseases; Infectious disease: parasitic; Amoebiasis
ko05150	3.0572	7.1357	37.709	0	0	0	50.065	0	12.8236	64.4144	6.6181	19.3009	39.5321	0	3.4054	Human Diseases; Infectious disease: bacterial; Staphylococcus aureus infection
