KEGG_L1	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107
Metabolism	10106.9735	4404.7054	2552.6785	2013.4426	7653.3525	1946.4582	3105.5457	12159.0394	3498.3975	12209.5258	13861.4234	13745.0326	12815.6333	4185.5356	13846.1414
Genetic Information Processing	2229.9942	720.2743	588.5997	395.5501	2490.8803	385.9065	618.6058	3208.1021	891.2374	3776.951	2453.0389	2799.5261	3274.2924	1091.8699	2322.4871
Human Diseases	1372.0714	1851.0286	3412.3333	3587.3742	2193.5922	3309.9468	3369.8004	642.7707	1569.4343	1538.4574	783.7933	901.1794	985.22	3093.2239	1066.9539
Environmental Information Processing	698.2673	760.8244	1051.8424	1040.6426	697.9531	965.3497	973.9991	1049.8753	554.9149	1169.3039	1301.8089	868.6547	907.6906	902.0937	706.7774
Cellular Processes	780.3304	544.8389	1078.2624	1173.9746	1619.5605	1074.6507	983.6689	670.0002	519.2566	793.7565	1787.7475	1511.6138	1134.2912	1275.5347	1219.4408
Organismal Systems	1267.9188	2599.7106	3792.0844	4172.6095	2054.2436	3807.4416	3520.8649	581.0964	1825.594	1485.6632	650.1286	725.6649	344.2631	3417.0162	648.4471
