KEGG_L1	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107
Metabolism	3532.2228	397.1353	273.3943	111.0115	1616.8691	138.4453	354.8468	7280.1028	1084.2702	4035.2608	31942.0356	34061.3847	4704.4617	671.6427	131136.7716
Genetic Information Processing	717.8322	66.4622	94.8236	39.3872	677.2824	46.2318	82.2124	2131.0576	260.3395	1201.5527	6303.012	7223.0963	1395.3475	235.084	22977.9352
Human Diseases	431.8319	100.2916	268.1989	258.8517	310.1398	270.4397	208.6578	404.4254	284.018	499.6461	1969.0581	2330.9232	392.7135	276.4674	9832.7306
Environmental Information Processing	194.5205	36.9411	103.1789	98.1674	92.3587	102.2158	76.5925	545.4762	120.7957	342.3521	2887.0037	2054.0066	310.8774	93.6167	6106.4905
Cellular Processes	254.2612	26.6315	72.0288	69.8417	312.0874	73.6883	61.4789	395.1106	98.5474	236.8523	4022.651	3533.7266	418.026	123.1686	11440.1195
Organismal Systems	402.2715	121.9664	272.5008	256.1309	263.5552	269.6447	201.4645	326.2012	294.6079	437.5783	1502.4045	1981.7649	124.6471	276.84	6666.4226
