family	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
f_Propionibacteriaceae	78176.2871	6802.8604	145.903	170.3615	1977.803	722.2386	627.2932	4766.2645	19163.6804	9324.172	375.3233	11490.8775	7986.572	264.2523	114670.9308	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Propionibacteriales;f_Propionibacteriaceae
f_Marinifilaceae	357.5636	0	51322.9381	58707.712	6553.8604	55906.1964	31161.0437	0	8766.9451	0	41.6867	15.4708	250.1797	34823.0142	8.6042	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Marinifilaceae
f_Dermabacteraceae	57495.3328	48757.9715	1071.4849	48.9057	1852.5593	933.1771	10018.9293	1181.4599	72578.4243	18787.3661	227.9233	1508.1229	14791.4039	698.0106	3753.5505	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Dermabacteraceae
f_Beijerinckiaceae	431.7159	1057.677	41114.1448	48570.6711	5484.204	44796.7697	23061.6233	11.4921	11689.1287	242.6584	109.0749	3115.9321	182.6236	27890.3876	947.0409	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Beijerinckiaceae
f_Actinomycetaceae	22754.8741	30242.0892	458.6411	7.7685	2663.921	1171.313	3653.7592	1019.0746	15991.0949	22921.0388	626.3412	5410.1532	38914.5421	1193.8333	44750.4908	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Actinomycetaceae
f_Xanthomonadaceae	29047.927	956.5001	433.408	751.4038	371.0108	364.8576	744.3578	2703.4314	1058.8563	483.4627	106.5173	41114.5111	18695.1643	423.118	76544.1689	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae
f_Dermatophilaceae	122467.9168	11316.4855	1606.9759	1637.7941	976.4887	1903.9248	1137.3673	6471.563	1934.0676	1368.7611	212.9965	657.6065	2146.9977	14245.0182	3943.3027	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Dermatophilaceae
f_Cellulosilyticaceae	632.4092	947.2865	28778.5349	35433.7097	4347.2829	38226.8363	22183.0965	265.3699	10130.6824	117.7989	186.8458	7.383	139.8416	26800.7614	94.0539	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Cellulosilyticaceae
f_UBA1444	532.4389	42.3796	22389.5371	32739.0605	5814.2562	30060.161	16268.9705	10.1468	10528.6701	0	19.5587	15.5511	99.5426	18933.8535	17.3412	d_Bacteria;p_Firmicutes C;c_Negativicutes;o_UBA1444;f_UBA1444
f_Flavobacteriaceae	595.7959	1876.0335	29383.4285	28461.984	3808.2157	31655.6469	16576.6252	206.4936	2912.5443	139.4804	162.5222	603.4015	130.5353	14272.2042	64.8241	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Flavobacteriales;f_Flavobacteriaceae
