family	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
f_Sphingomonadaceae	1197	244	72	77	141	83	111	130	121	179	50	31584	53	66	4871	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae
f_Unclassified_o_Rhizobiales	53	5	13	11	8	2	9	12	18	12	26	2289	14	24	19213	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Unclassified_o_Rhizobiales
f_Unclassified_o_Burkholderiales	79	0	79	74	29	56	44	11	105	1	58	17062	33	64	3204	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Unclassified_o_Burkholderiales
f_Nocardioidaceae	476	47	53	59	30	43	24	46	40	48	14	9458	41	38	10198	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Propionibacteriales;f_Nocardioidaceae
f_Unclassified_p_Actinobacteriota	487	65	29	34	35	22	29	60	197	165	42	548	139	15	17009	d_Bacteria;p_Actinobacteriota;c_Unclassified_p_Actinobacteriota;o_Unclassified_p_Actinobacteriota;f_Unclassified_p_Actinobacteriota
f_Chitinophagaceae	1830	2649	1233	835	2130	849	1743	162	1450	1831	1374	280	161	963	747	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Chitinophagales;f_Chitinophagaceae
f_Unclassified_c_Bacilli	60	6	180	64	84	77	77	840	115	912	1684	5199	1934	134	6677	d_Bacteria;p_Firmicutes;c_Bacilli;o_Unclassified_c_Bacilli;f_Unclassified_c_Bacilli
f_Unclassified_o_Lactobacillales	19	0	92	0	57	8	44	1007	110	1083	337	2598	898	44	11149	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Unclassified_o_Lactobacillales
f_Beijerinckiaceae	46	24	1436	1451	306	1547	638	5	707	39	82	3656	18	1215	5983	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Beijerinckiaceae
f_Pasteurellaceae	44	14	133	86	54	31	1473	349	171	15	8964	4672	122	75	157	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Pasteurellaceae
f_Carnobacteriaceae	27	0	5	0	4	3	4	42	1	20	38	25	106	7	15033	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Carnobacteriaceae
f_Streptomycetaceae	1398	1751	793	469	1722	513	1305	169	927	1125	115	287	94	550	3279	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Streptomycetales;f_Streptomycetaceae
f_Cellulosilyticaceae	127	25	1871	2134	462	2454	1105	85	1391	12	161	18	26	2319	511	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Cellulosilyticaceae
f_Alcanivoracaceae	118	3	2240	2258	499	2493	1317	1	1663	0	15	27	27	1859	24	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Alcanivoracaceae
f_Unclassified_o_Campylobacterales	131	7	81	21	5042	15	99	183	9	2	150	1910	11	1851	1167	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Unclassified_o_Campylobacterales
f_Brevibacteriaceae	2055	218	8	0	60	6	7	285	2333	142	349	185	255	13	4423	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Brevibacteriaceae
f_Unclassified_o_Enterobacterales	7	2	18	26	10	21	168	73	22	6	7451	289	350	39	387	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Unclassified_o_Enterobacterales
f_Cellulomonadaceae	176	10	379	368	71	353	156	20	152	122	14	179	72	285	6369	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Cellulomonadaceae
f_Lachnospiraceae	333	543	204	185	432	195	264	617	182	264	1752	100	256	187	2320	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae
f_Unclassified_o_Xanthomonadales	87	0	0	0	0	1	0	19	0	1	2	1702	30	0	5645	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Unclassified_o_Xanthomonadales
f_UBA1444	67	1	1072	1378	457	1457	625	2	978	0	22	17	17	1123	54	d_Bacteria;p_Firmicutes C;c_Negativicutes;o_UBA1444;f_UBA1444
f_Unclassified_c_Bacteroidia	26	30	140	153	48	170	89	201	108	14	131	5344	46	121	577	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Unclassified_c_Bacteroidia;f_Unclassified_c_Bacteroidia
f_Unclassified_o_Clostridiales	10	0	4	0	0	0	7	1849	1	0	3394	144	721	8	221	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Clostridiales;f_Unclassified_o_Clostridiales
f_Vermiphilaceae	0	0	1	0	0	2	0	0	0	0	5	11	1	0	6088	d_Bacteria;p_Dependentiae;c_Babeliae;o_Babeliales;f_Vermiphilaceae
f_Unclassified_o_Mycobacteriales	227	77	1	0	18	2	2	50	71	195	32	256	62	8	4824	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Unclassified_o_Mycobacteriales
f_Devosiaceae	10	0	42	67	17	51	30	0	67	2	0	838	7	29	4631	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Devosiaceae
f_Campylobacteraceae	49	1	48	16	2808	13	50	53	4	0	71	489	3	1619	477	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Campylobacteraceae
f_Beutenbergiaceae	90	9	0	1	5	4	2	6	3	35	2	115	45	17	4998	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Beutenbergiaceae
f_Paenibacillaceae	503	753	201	50	707	63	528	73	240	397	445	484	72	145	577	d_Bacteria;p_Firmicutes;c_Bacilli;o_Paenibacillales;f_Paenibacillaceae
f_Moraxellaceae	124	4	84	91	38	94	73	236	29	13	284	795	209	36	2960	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae
f_Enterococcaceae	10	0	41	2	5	5	4	22	38	26	370	220	390	6	3562	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Enterococcaceae
f_Marinifilaceae	18	0	949	910	194	987	445	0	308	0	17	8	16	770	16	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Marinifilaceae
f_Flavobacteriaceae	46	30	707	625	166	797	339	92	149	13	195	662	23	426	345	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Flavobacteriales;f_Flavobacteriaceae
f_Rhodocyclaceae	11	3	18	34	3	17	2	4	13	0	1	2380	2	11	1914	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Rhodocyclaceae
f_Streptococcaceae	187	550	362	332	160	317	133	208	330	539	53	139	55	305	637	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Streptococcaceae
f_Xanthobacteraceae	7	1	46	27	10	33	18	1	34	0	2	445	10	23	3641	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Xanthobacteraceae
f_Sedimenticolaceae	39	4	731	673	194	926	386	0	433	3	13	7	7	699	14	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Chromatiales;f_Sedimenticolaceae
f_Aquificaceae	30	4	590	738	171	771	469	126	299	1	7	3	1	741	12	d_Bacteria;p_Aquificota;c_Aquificae;o_Aquificales;f_Aquificaceae
f_Aeromonadaceae	96	79	443	491	273	523	339	83	493	34	41	21	26	445	433	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Aeromonadaceae
f_Peptoniphilaceae	53	11	5	3	8	1	13	171	3	31	607	441	355	4	2041	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Tissierellales;f_Peptoniphilaceae
f_Alteromonadaceae	65	24	494	486	124	499	295	12	662	54	252	122	33	477	138	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Alteromonadaceae
f_Tissierellaceae	15	6	90	52	76	101	69	81	79	1	10	15	19	58	2868	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Tissierellales;f_Tissierellaceae
f_Pseudonocardiaceae	104	32	90	65	31	78	38	17	107	135	4	116	28	105	2234	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Pseudonocardiaceae
f_Thioglobaceae	54	74	493	475	160	461	260	6	330	31	8	6	0	363	191	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_PS1;f_Thioglobaceae
f_Bacteroidaceae	53	57	249	313	116	291	164	70	285	66	825	42	61	237	53	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae
f_Micromonosporaceae	174	43	65	52	28	52	55	16	70	78	5	100	5	45	1581	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Micromonosporaceae
f_CAG-826	0	0	3	6	3	6	8	970	0	0	898	19	378	1	49	d_Bacteria;p_Firmicutes;c_Bacilli;o_RFN20;f_CAG-826
f_Erysipelotrichaceae	5	0	4	5	0	10	3	55	0	2	49	9	22	0	2168	d_Bacteria;p_Firmicutes;c_Bacilli;o_Erysipelotrichales;f_Erysipelotrichaceae
f_Halomonadaceae	21	13	96	111	41	115	37	2	63	26	1	286	7	74	1332	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Halomonadaceae
f_Unclassified_o_Propionibacteriales	83	3	0	0	0	0	0	7	3	15	3	70	17	0	1887	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Propionibacteriales;f_Unclassified_o_Propionibacteriales
f_Bifidobacteriaceae	65	21	0	0	3	0	2	4	16	58	7	64	88	0	1671	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Bifidobacteriaceae
f_Acetobacteraceae	8	6	8	33	25	47	28	1	14	21	1	484	1	63	1208	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Acetobacterales;f_Acetobacteraceae
f_Unclassified_c_Campylobacteria	53	0	17	1	971	4	29	45	5	1	17	255	0	312	226	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Unclassified_c_Campylobacteria;f_Unclassified_c_Campylobacteria
f_Unclassified_p_Firmicutes A	16	0	0	0	0	0	6	279	0	3	617	3	59	0	928	d_Bacteria;p_Firmicutes A;c_Unclassified_p_Firmicutes A;o_Unclassified_p_Firmicutes A;f_Unclassified_p_Firmicutes A
f_Planococcaceae	4	0	36	42	12	59	19	8	18	4	538	6	24	46	1065	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales A;f_Planococcaceae
