order	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
o_JACQBZ01	1	0	108	101	16	80	51	0	77	0	0	0	1	58	6	d_Bacteria;p_Nitrospirota;c_Nitrospiria;o_JACQBZ01
o_Haloplasmatales A	19	43	19	34	5	32	17	18	17	33	73	0	1	22	157	d_Bacteria;p_Firmicutes;c_Bacilli;o_Haloplasmatales A
o_Vicinamibacterales	9	2	5	11	6	15	19	2	5	1	0	2	0	6	395	d_Bacteria;p_Acidobacteriota;c_Vicinamibacteria;o_Vicinamibacterales
o_Leptolyngbyales	5	0	93	80	30	78	55	2	34	5	1	1	3	73	5	d_Bacteria;p_Cyanobacteria;c_Cyanobacteriia;o_Leptolyngbyales
o_Anaerolineales	18	7	81	77	11	72	50	3	42	1	3	1	0	87	1	d_Bacteria;p_Chloroflexota;c_Anaerolineae;o_Anaerolineales
o_Jiangellales	59	0	1	0	0	0	0	10	0	0	1	10	0	0	373	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Jiangellales
o_Magnetococcales	7	5	37	100	28	87	65	1	25	0	0	16	2	71	0	d_Bacteria;p_Proteobacteria;c_Magnetococcia;o_Magnetococcales
o_Sphingobacteriales	12	3	39	35	21	37	25	1	29	1	5	159	0	56	18	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Sphingobacteriales
o_Nitrosococcales	3	0	14	21	1	36	7	1	67	0	0	36	12	18	219	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Nitrosococcales
o_Bryobacterales	31	72	41	14	27	15	49	5	20	30	2	11	0	28	86	d_Bacteria;p_Acidobacteriota;c_Acidobacteriae;o_Bryobacterales
o_Chlamydiales	8	5	71	31	37	61	49	0	78	19	5	11	1	40	6	d_Bacteria;p_Chlamydiota;c_Chlamydiia;o_Chlamydiales
o_Reyranellales	6	0	0	0	0	0	1	0	3	3	0	40	1	0	365	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Reyranellales
o_Chloroflexales	18	17	10	8	9	26	11	1	2	8	0	7	2	7	287	d_Bacteria;p_Chloroflexota;c_Chloroflexia;o_Chloroflexales
