#ID	ADU	JUN
Bacteria.Proteobacteria.Alphaproteobacteria.unclassified_Alphaproteobacteria.unclassified_Alphaproteobacteria.unclassified_Alphaproteobacteria.unclassified_Alphaproteobacteria	1575.59964	2398.93232
Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.Paracoccus.Paracoccus_sulfuroxidans	2764.80904	1940.22458
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Ligilactobacillus.Ligilactobacillus_faecavium	4050.1301	4.98252
Bacteria.Firmicutes_A.Clostridia.Lachnospirales.Cellulosilyticaceae.Epulopiscium_B.Epulopiscium_B_sp001983555	3977.10562	4233.1278
Bacteria.Proteobacteria.Gammaproteobacteria.unclassified_Gammaproteobacteria.unclassified_Gammaproteobacteria.unclassified_Gammaproteobacteria.unclassified_Gammaproteobacteria	2022.7902600000002	2153.08016
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Micrococcaceae.Kocuria.unclassified_Kocuria	1111.48594	6283.21202
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Actinomycetaceae.Boudabousia.Boudabousia_marimammalium	2003.0153400000004	1419.0063599999999
Bacteria.Firmicutes_A.Clostridia.Clostridiales.Clostridiaceae.unclassified_Clostridiaceae.unclassified_Clostridiaceae	4156.496519999999	227.64696000000004
Bacteria.Firmicutes_A.Clostridia.Clostridiales.Clostridiaceae.Clostridium.Clostridium_baratii	6717.72886	63.45552
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.unclassified_Lactobacillaceae.unclassified_Lactobacillaceae	5077.914220000001	43.357299999999995
Bacteria.Firmicutes_A.Clostridia.Peptostreptococcales.Peptostreptococcaceae.unclassified_Peptostreptococcaceae.unclassified_Peptostreptococcaceae	2497.73244	1842.2111
Bacteria.Firmicutes_A.Clostridia.unclassified_Clostridia.unclassified_Clostridia.unclassified_Clostridia.unclassified_Clostridia	3214.56244	956.93338
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.unclassified_Actinomycetales.unclassified_Actinomycetales.unclassified_Actinomycetales	1678.3805800000002	2534.1804
Bacteria.Bacteroidota.Bacteroidia.Flavobacteriales.Flavobacteriaceae.Aureibaculum.Aureibaculum_sp003449015	2716.64476	3299.855560000001
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Dermabacteraceae.TAE3_ERU5.TAE3_ERU5_sp019218375	1991.3077400000002	3347.77886
Bacteria.Campylobacterota.Campylobacteria.Campylobacterales.Helicobacteraceae.unclassified_Helicobacteraceae.unclassified_Helicobacteraceae	195.7587	4341.223459999999
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Microbacteriaceae.Microbacterium.Microbacterium_arborescens	2059.3957	2753.10684
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Cellulomonadaceae.Cellulomonas.Cellulomonas_oligotrophica	1732.1149799999998	2563.5852999999997
Bacteria.Campylobacterota.Campylobacteria.Campylobacterales.Helicobacteraceae.Helicobacter_G.Helicobacter_G_brantae	138.31018	3706.6948200000006
Bacteria.Actinobacteriota.Actinomycetia.Mycobacteriales.Mycobacteriaceae.Corynebacterium.Corynebacterium_accolens	2737.78694	1387.05658
Bacteria.Campylobacterota.Campylobacteria.Campylobacterales.unclassified_Campylobacterales.unclassified_Campylobacterales.unclassified_Campylobacterales	170.11393999999999	3257.17404
Bacteria.Proteobacteria.Gammaproteobacteria.Xanthomonadales.Xanthomonadaceae.Luteimonas.Luteimonas_sp016615955	202.65584	1201.0206000000003
Bacteria.Firmicutes.Bacilli.unclassified_Bacilli.unclassified_Bacilli.unclassified_Bacilli.unclassified_Bacilli	1755.1269999999997	699.3232
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Gallilactobacillus.Gallilactobacillus_intestinavium	3149.99044	3.31444
Bacteria.Fusobacteriota.Fusobacteriia.Fusobacteriales.Fusobacteriaceae.Cetobacterium_A.Cetobacterium_A_somerae	3100.86596	56.53486
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Micrococcaceae.Arthrobacter_D.Arthrobacter_D_sp002929295	1480.56706	1697.056
