#ID	domain	phylum	class	order	family	genus	species
Bacteria.Campylobacterota.Campylobacteria.Campylobacterales.Helicobacteraceae.Helicobacter_H.Helicobacter_H_anseris	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter_H	s__Helicobacter_H_anseris
Bacteria.Firmicutes_A.Clostridia.Tissierellales.Tissierellaceae.Tissierella_B.Tissierella_B_creatinini	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Tissierellaceae	g__Tissierella_B	s__Tissierella_B_creatinini
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Pasteurellaceae.unclassified_Pasteurellaceae.unclassified_Pasteurellaceae	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Pasteurellaceae	g__unclassified_Pasteurellaceae	s__unclassified_Pasteurellaceae
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Alteromonadaceae.Pseudidiomarina.Pseudidiomarina_aestuarii_A	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Pseudidiomarina	s__Pseudidiomarina_aestuarii_A
Bacteria.Myxococcota.unclassified_Myxococcota.unclassified_Myxococcota.unclassified_Myxococcota.unclassified_Myxococcota.unclassified_Myxococcota	d__Bacteria	p__Myxococcota	c__unclassified_Myxococcota	o__unclassified_Myxococcota	f__unclassified_Myxococcota	g__unclassified_Myxococcota	s__unclassified_Myxococcota
Bacteria.Firmicutes_A.Clostridia.Lachnospirales.Cellulosilyticaceae.Epulopiscium_C.Epulopiscium_C_sp002007315	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Cellulosilyticaceae	g__Epulopiscium_C	s__Epulopiscium_C_sp002007315
Bacteria.Actinobacteriota.unclassified_Actinobacteriota.unclassified_Actinobacteriota.unclassified_Actinobacteriota.unclassified_Actinobacteriota.unclassified_Actinobacteriota	d__Bacteria	p__Actinobacteriota	c__unclassified_Actinobacteriota	o__unclassified_Actinobacteriota	f__unclassified_Actinobacteriota	g__unclassified_Actinobacteriota	s__unclassified_Actinobacteriota
Bacteria.Fusobacteriota.Fusobacteriia.Fusobacteriales.Fusobacteriaceae.Cetobacterium_A.Cetobacterium_A_sp000799075	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Cetobacterium_A	s__Cetobacterium_A_sp000799075
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Dermatophilaceae.unclassified_Dermatophilaceae.unclassified_Dermatophilaceae	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Dermatophilaceae	g__unclassified_Dermatophilaceae	s__unclassified_Dermatophilaceae
Bacteria.Actinobacteriota.Actinomycetia.Propionibacteriales.Propionibacteriaceae.Cutibacterium.unclassified_Cutibacterium	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	s__unclassified_Cutibacterium
Bacteria.Actinobacteriota.Actinomycetia.Mycobacteriales.Mycobacteriaceae.Corynebacterium.Corynebacterium_pelargi	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium_pelargi
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Aeromonadaceae.Aeromonas.unclassified_Aeromonas	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Aeromonadaceae	g__Aeromonas	s__unclassified_Aeromonas
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Pasteurellaceae.Gallibacterium.unclassified_Gallibacterium	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Pasteurellaceae	g__Gallibacterium	s__unclassified_Gallibacterium
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Micrococcaceae.Galactobacter.unclassified_Galactobacter	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Galactobacter	s__unclassified_Galactobacter
Bacteria.Firmicutes_A.Clostridia.Lachnospirales.Cellulosilyticaceae.Epulopiscium_D.Epulopiscium_D_sp002007365	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Cellulosilyticaceae	g__Epulopiscium_D	s__Epulopiscium_D_sp002007365
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.Bacteroides_sp002471185	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_sp002471185
Bacteria.Fusobacteriota.Fusobacteriia.Fusobacteriales.Fusobacteriaceae.Cetobacterium_A.Cetobacterium_A_sp014250675	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Cetobacterium_A	s__Cetobacterium_A_sp014250675
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Moraxellaceae.Acinetobacter.Acinetobacter_idrijaensis	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter_idrijaensis
Bacteria.Campylobacterota.Campylobacteria.Campylobacterales.Helicobacteraceae.Helicobacter_G.Helicobacter_G_avistercoris	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter_G	s__Helicobacter_G_avistercoris
Bacteria.Firmicutes_A.Clostridia.Lachnospirales.Lachnospiraceae.Schaedlerella.Schaedlerella_sp004556565	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Schaedlerella	s__Schaedlerella_sp004556565
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Micrococcaceae.Rothia.Rothia_amarae	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Rothia	s__Rothia_amarae
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Dermabacteraceae.Brachybacterium.unclassified_Brachybacterium	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Dermabacteraceae	g__Brachybacterium	s__unclassified_Brachybacterium
Bacteria.Firmicutes_A.Clostridia.Lachnospirales.Lachnospiraceae.unclassified_Lachnospiraceae.unclassified_Lachnospiraceae	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__unclassified_Lachnospiraceae	s__unclassified_Lachnospiraceae
Bacteria.Cyanobacteria.Cyanobacteriia.Cyanobacteriales.unclassified_Cyanobacteriales.unclassified_Cyanobacteriales.unclassified_Cyanobacteriales	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__unclassified_Cyanobacteriales	g__unclassified_Cyanobacteriales	s__unclassified_Cyanobacteriales
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Oleiphilaceae.Marinobacter.Marinobacter_guineae	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Oleiphilaceae	g__Marinobacter	s__Marinobacter_guineae
Bacteria.Proteobacteria.Gammaproteobacteria.PS1.Thioglobaceae.Thiodubiliella.Thiodubiliella_sp900128405	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__PS1	f__Thioglobaceae	g__Thiodubiliella	s__Thiodubiliella_sp900128405
Bacteria.Actinobacteriota.Actinomycetia.Mycobacteriales.Mycobacteriaceae.unclassified_Mycobacteriaceae.unclassified_Mycobacteriaceae	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__unclassified_Mycobacteriaceae	s__unclassified_Mycobacteriaceae
Bacteria.Actinobacteriota.Actinomycetia.Mycobacteriales.Mycobacteriaceae.Corynebacterium.Corynebacterium_gallistercoris	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium_gallistercoris
Bacteria.Proteobacteria.Gammaproteobacteria.PS1.Thioglobaceae.unclassified_Thioglobaceae.unclassified_Thioglobaceae	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__PS1	f__Thioglobaceae	g__unclassified_Thioglobaceae	s__unclassified_Thioglobaceae
Bacteria.Actinobacteriota.Actinomycetia.Streptomycetales.Streptomycetaceae.Kitasatospora.Kitasatospora_herbaricolor	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Streptomycetales	f__Streptomycetaceae	g__Kitasatospora	s__Kitasatospora_herbaricolor
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Micrococcaceae.Galactobacter.Galactobacter_valiniphilus	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Galactobacter	s__Galactobacter_valiniphilus
Bacteria.Actinobacteriota.Actinomycetia.Propionibacteriales.Propionibacteriaceae.Cutibacterium.Cutibacterium_timonense	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	s__Cutibacterium_timonense
