#ID	domain	phylum	class	order	family	genus	species
Bacteria.Firmicutes_A.Clostridia.Peptostreptococcales.Peptostreptococcaceae.Paraclostridium.Paraclostridium_tenue	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Paraclostridium	s__Paraclostridium_tenue
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Micrococcaceae.Rothia.unclassified_Rothia	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Rothia	s__unclassified_Rothia
Bacteria.Campylobacterota.Campylobacteria.Campylobacterales.Helicobacteraceae.Helicobacter_G.Helicobacter_G_sp001693335	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter_G	s__Helicobacter_G_sp001693335
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Ligilactobacillus.Ligilactobacillus_aviarius_B	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Ligilactobacillus	s__Ligilactobacillus_aviarius_B
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Vibrionaceae.unclassified_Vibrionaceae.unclassified_Vibrionaceae	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__unclassified_Vibrionaceae	s__unclassified_Vibrionaceae
Bacteria.Actinobacteriota.Actinomycetia.Mycobacteriales.Mycobacteriaceae.Corynebacterium.Corynebacterium_vitaeruminis_A	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium_vitaeruminis_A
Bacteria.Actinobacteriota.Actinomycetia.Mycobacteriales.Mycobacteriaceae.Corynebacterium.Corynebacterium_sp008930665	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium_sp008930665
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Beijerinckiaceae.Methylocystis.Methylocystis_sp011058845	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Methylocystis	s__Methylocystis_sp011058845
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Micrococcaceae.Arthrobacter_D.Arthrobacter_D_sp002929375	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Arthrobacter_D	s__Arthrobacter_D_sp002929375
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Dermabacteraceae.TAE3_ERU5.unclassified_TAE3_ERU5	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Dermabacteraceae	g__TAE3_ERU5	s__unclassified_TAE3_ERU5
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Ligilactobacillus.Ligilactobacillus_aviarius	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Ligilactobacillus	s__Ligilactobacillus_aviarius
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Micrococcaceae.Kocuria.Kocuria_sp014698015	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Kocuria	s__Kocuria_sp014698015
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Micrococcaceae.Rothia.Rothia_kristinae	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Rothia	s__Rothia_kristinae
Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.Paracoccus.unclassified_Paracoccus	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Paracoccus	s__unclassified_Paracoccus
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Micrococcaceae.Arthrobacter_D.unclassified_Arthrobacter_D	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Arthrobacter_D	s__unclassified_Arthrobacter_D
Bacteria.Campylobacterota.Campylobacteria.Campylobacterales.Helicobacteraceae.Helicobacter_G.Helicobacter_G_pametensis	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter_G	s__Helicobacter_G_pametensis
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Dermatophilaceae.Knoellia.unclassified_Knoellia	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Dermatophilaceae	g__Knoellia	s__unclassified_Knoellia
Bacteria.Firmicutes_C.Negativicutes.UBA1444.UBA1444.UBA1444.UBA1444_sp012798135	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__UBA1444	f__UBA1444	g__UBA1444	s__UBA1444_sp012798135
Bacteria.Proteobacteria.Alphaproteobacteria.unclassified_Alphaproteobacteria.unclassified_Alphaproteobacteria.unclassified_Alphaproteobacteria.unclassified_Alphaproteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__unclassified_Alphaproteobacteria	f__unclassified_Alphaproteobacteria	g__unclassified_Alphaproteobacteria	s__unclassified_Alphaproteobacteria
Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.Paracoccus.Paracoccus_sulfuroxidans	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Paracoccus	s__Paracoccus_sulfuroxidans
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Ligilactobacillus.Ligilactobacillus_faecavium	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Ligilactobacillus	s__Ligilactobacillus_faecavium
Bacteria.Firmicutes_A.Clostridia.Lachnospirales.Cellulosilyticaceae.Epulopiscium_B.Epulopiscium_B_sp001983555	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Cellulosilyticaceae	g__Epulopiscium_B	s__Epulopiscium_B_sp001983555
Bacteria.Proteobacteria.Gammaproteobacteria.unclassified_Gammaproteobacteria.unclassified_Gammaproteobacteria.unclassified_Gammaproteobacteria.unclassified_Gammaproteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__unclassified_Gammaproteobacteria	f__unclassified_Gammaproteobacteria	g__unclassified_Gammaproteobacteria	s__unclassified_Gammaproteobacteria
