genus	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
g_UBA1444	380.624	17.6253	9345.8077	13143.9249	3568.3754	12013.1269	6590.5094	9.2148	4994.77	0	18.0039	13.685	88.7977	9486.8013	16.1418	d_Bacteria;p_Firmicutes C;c_Negativicutes;o_UBA1444;f_UBA1444;g_UBA1444
g_Unclassified_c_Alphaproteobacteria	3146.1895	1519.6576	3344.7532	1998.4882	1985.5731	2758.6181	2616.9454	115.2586	1606.4161	780.76	29.7707	14004.2288	865.2026	2064.3853	21340.3184	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Unclassified_c_Alphaproteobacteria;f_Unclassified_c_Alphaproteobacteria;g_Unclassified_c_Alphaproteobacteria
g_Epulopiscium B	280.6784	387.1859	8582.5945	10298.0143	1617.1659	9796.1983	6112.3288	0.875	3916.871	59.255	15.6376	1.9149	18.3484	9574.8487	3.1389	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Cellulosilyticaceae;g_Epulopiscium B
g_Pseudomonas E	2985.1199	659.5492	299.8041	275.6669	268.9004	319.0284	102.2349	285.7834	300.7061	332.7579	42.0087	6706.2292	5069.7217	216.9159	26446.2451	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Pseudomonas E
g_Unclassified_c_Gammaproteobacteria	971.1856	1508.7307	3502.6955	3299.2703	1483.5187	3884.9086	3370.1308	202.5415	2199.8309	456.5395	5413.1808	8550.0865	1974.6294	3700.1679	2706.3359	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Unclassified_c_Gammaproteobacteria;f_Unclassified_c_Gammaproteobacteria;g_Unclassified_c_Gammaproteobacteria
g_Unclassified_f_Clostridiaceae	797.4842	3.4382	259.9684	59.1967	18.1473	0	697.2803	20059.6999	19.1288	6.3736	7250.1485	266.8931	11523.0342	360.2697	279.3367	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Unclassified_f_Clostridiaceae
g_Unclassified_f_Lactobacillaceae	0	0	125.6429	0	91.1436	49.7322	1055.0186	5697.078	230.6222	18357.1201	760.4274	9132.6383	5206.7709	147.907	31.4606	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Unclassified_f_Lactobacillaceae
g_Luteimonas	9455.575	243.9023	18.8121	25.4598	18.8874	3.6807	0	1321.9097	44.0371	184.4747	51.8544	26068.5127	356.9387	0	498.501	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Luteimonas
g_Microbacterium	3555.2997	2488.2189	4697.8072	4953.4685	2146.4131	4461.2932	3097.7871	366.4027	2706.0641	2401.3248	40.1948	370.8359	522.4033	3435.5596	3017.6333	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Microbacteriaceae;g_Microbacterium
g_Acidovorax	1322.5768	116.2107	10.7397	8.3342	89.4815	43.4947	0	38.1019	93.3451	78.5245	9.3	34884.2555	615.6249	0	224.9478	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Acidovorax
g_Unclassified_f_Peptostreptococcaceae	8452.553	3.414	718.3438	0	36.7447	0	1099.5207	11025.3253	52.7984	311.0178	4556.9053	13.3963	3399.0882	288.3082	6970.2765	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Peptostreptococcaceae;g_Unclassified_f_Peptostreptococcaceae
g_Unclassified_c_Clostridia	2006.2021	283.9123	671.3087	1540.5369	282.7069	1747.795	1604.9395	11946.9488	452.8663	320.2626	5806.4327	247.4984	6092.0806	1113.5385	2056.1961	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Unclassified_c_Clostridia;f_Unclassified_c_Clostridia;g_Unclassified_c_Clostridia
g_Unclassified_o_Actinomycetales	9066.9957	2622.4298	299.6419	393.5979	288.2367	75.5444	415.1911	648.2629	2218.6903	5034.2142	95.1615	966.1395	3998.0301	426.5661	8632.6448	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Unclassified_o_Actinomycetales;g_Unclassified_o_Actinomycetales
g_Aureibaculum	104.3136	0	7741.6183	7504.0797	1149.2662	8914.3455	3934.6728	0	734.2055	0	12.1459	2.5726	11.4796	4819.515	2.508	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Flavobacteriales;f_Flavobacteriaceae;g_Aureibaculum
g_Unclassified_f_Helicobacteraceae	427.7561	123.645	241.1108	109.76	20803.8454	99.4306	583.5928	236.5746	54.1414	5.0541	21.9316	648.09	21.6941	7096.8977	95.3697	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Helicobacteraceae;g_Unclassified_f_Helicobacteraceae
g_Phenylobacterium	279.9154	0	0	11.3758	26.4199	78.4399	164.5088	13.8124	27.5149	85.0236	5.8118	28634.1766	156.0949	2.5355	38.8281	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Phenylobacterium
g_Pulveribacter	649.8297	23.4514	15.2883	0	24.1476	0	11.7257	15.1732	54.6968	43.9221	4.6036	27266.5608	210.5787	0	95.484	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Pulveribacter
g_Cellulomonas	212.1551	98.0327	5505.501	6292.5201	986.3179	5303.0903	2481.9181	23.4973	902.7365	380.6705	7.8108	38.2591	63.6264	4448.116	391.0871	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Cellulomonadaceae;g_Cellulomonas
g_Brevibacterium	8636.1313	2967.0049	73.4152	0	373.9838	29.3058	43.6555	719.0171	9589.139	596.4092	238.3344	92.7309	951.742	32.6481	553.3461	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Brevibacteriaceae;g_Brevibacterium
g_Unclassified_o_Campylobacterales	311.1138	128.4123	305.4674	96.0256	15444.8511	36.8544	460.5407	309.2238	29.8745	14.0763	70.8695	615.0519	34.5281	6914.1052	109.4028	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Unclassified_o_Campylobacterales;g_Unclassified_o_Campylobacterales
g_Aeromonas	549.9728	1648.8062	3522.0361	3481.4103	2895.4971	3342.3001	3315.7648	77.1244	1867.0781	295.5475	13.0956	18.6441	96.1797	3119.7744	69.5697	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Aeromonadaceae;g_Aeromonas
g_Lysobacter	659.1073	12.0277	2.6599	0	20.982	3.3116	0	340.9423	4.5762	65.022	12.6136	3542.4521	256.2822	0	19008.5157	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Lysobacter
g_Unclassified_c_Bacilli	402.2693	216.3481	1273.7187	1130.6022	473.6777	1045.3902	910.9345	1881.2977	713.194	4224.8186	706.4321	3104.3624	5280.6359	987.9541	1074.1397	d_Bacteria;p_Firmicutes;c_Bacilli;o_Unclassified_c_Bacilli;f_Unclassified_c_Bacilli;g_Unclassified_c_Bacilli
g_CCUG-7971	8990.1257	8.1893	26.4507	0	42.0172	3.0444	53.8051	5733.2686	9.1102	250.9389	468.7092	0.6753	1096.293	6.5719	6396.567	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Peptostreptococcaceae;g_CCUG-7971
g_Shinella	1478.113	116.0086	3.5304	0	226.0661	4.1101	54.1369	60.4971	89.439	305.3314	9.8956	10798.9728	882.3866	3.2403	9027.3807	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Shinella
g_Ochrobactrum A	182.4648	137.668	0	0	16.8628	3.7862	10.3381	2.4562	41.9349	61.7304	5.0517	516.5194	446.5031	0	21443.212	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales A;f_Rhizobiaceae A;g_Ochrobactrum A
g_Streptococcus	824.2423	7942.6385	2358.2283	1920.4685	889.6497	1495.3408	795.4121	336.6302	1415.6744	2721.0205	19.0821	46.2954	403.1864	1618.2831	68.2268	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Streptococcus
g_Gallilactobacillus	0	0	0	0	16.5722	1.7217	831.8533	4731.8504	118.66	10065.8668	526.5702	4096.494	2216.4174	31.6106	0.8863	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Gallilactobacillus
g_Romboutsia	2221.2471	83.1347	444.514	0	66.1904	11.9483	571.3692	1695.5557	13.5189	514.6696	1001.3891	13.4109	3913.5119	144.9267	10645.1388	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Peptostreptococcaceae;g_Romboutsia
g_Flaviflexus	1109.1555	505.389	2.9386	0	65.1287	27.4088	46.6246	127.0732	387.8001	2269.5481	35.9328	215.1218	1180.3274	83.9405	14650.7846	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Actinomycetaceae;g_Flaviflexus
g_Kaistella	438.4487	12.8792	121.8614	114.1505	6.0256	65.592	21.9406	529.3216	0	0	25.7889	19110.074	144.6518	8.7901	26.4648	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Flavobacteriales;f_Weeksellaceae;g_Kaistella
g_Paenochrobactrum	337.5451	28.9817	7.5918	0	46.5596	0	0	36.3371	23.4951	59.9284	8.5218	167.5668	660.4116	0	17548.5731	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales A;f_Rhizobiaceae A;g_Paenochrobactrum
