order	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
o_Flavobacteriales	1986.9139	3205.115	31105.6796	30999.9771	4417.9072	33697.2785	18296.6262	1452.6675	3661.4073	212.5875	236.3324	36814.2165	407.7369	16248.0311	221.5943	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Flavobacteriales
o_Caulobacterales	4161.8546	2150.7119	3868.3856	4137.3733	1420.4993	4859.3908	2999.586	714.8346	3409.5411	711.1396	53.9348	102376.4502	2897.6473	3340.5053	5042.4348	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales
o_UBA1444	532.4389	42.3796	22389.5371	32739.0605	5814.2562	30060.161	16268.9705	10.1468	10528.6701	0	19.5587	15.5511	99.5426	18933.8535	17.3412	d_Bacteria;p_Firmicutes C;c_Negativicutes;o_UBA1444
o_Unclassified_c_Alphaproteobacteria	4401.0727	3653.9754	8012.9486	4977.8607	3235.2624	6902.8244	6460.048	126.9156	3386.2269	943.9437	32.3416	15913.8804	969.8958	4120.121	22925.9936	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Unclassified_c_Alphaproteobacteria
o_Unclassified_c_Gammaproteobacteria	1358.5509	3627.702	8391.3274	8217.8657	2417.2226	9721.1143	8319.3202	223.0262	4637.1091	551.9591	5880.6381	9715.9976	2213.5679	7384.8323	2907.428	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Unclassified_c_Gammaproteobacteria
o_Sphingomonadales	7764.4394	13065.985	2786.4216	3657.2835	2778.8025	3675.3866	4658.133	384.2968	2549.3457	1727.483	34.7278	22523.0516	292.8603	2418.5578	873.0631	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales
o_PS1	531.4571	4975.8568	13045.6969	15098.7942	2898.5591	11759.0827	8777.8479	39.2005	4240.4867	314.742	11.5358	5.8628	0	6890.7817	23.1917	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_PS1
o_Chromatiales	228.0537	372.1185	10416.1806	12203.3549	2115.4928	11599.6707	6994.3693	12.441	2199.8195	233.2788	7.8484	2.7797	51.8045	6449.3868	100.5471	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Chromatiales
o_Cyanobacteriales	589.6954	1624.9902	8363.1917	10715.7633	1458.7756	11253.5533	7086.7639	42.3301	3126.2386	130.2578	5.3121	208.8664	20.3629	7330.7506	47.8907	d_Bacteria;p_Cyanobacteria;c_Cyanobacteriia;o_Cyanobacteriales
o_Unclassified_c_Clostridia	2806.3921	682.6594	1608.2389	3837.1895	460.6383	4373.4659	3961.8658	13155.2412	954.6144	387.1995	6307.8494	281.2479	6829.2482	2222.4113	2208.9801	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Unclassified_c_Clostridia
o_Bacillales B	217.102	1249.1495	4898.625	11866.9083	1024.1919	2223.7167	18875.1335	399.7457	457.1639	38.8157	107.1086	18.1682	463.7628	2421.5693	64.9315	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales B
o_Aquificales	97.3193	205.9394	7317.6181	8943.9416	1152.9248	8884.7626	7395.6667	150.3872	1924.5641	9.0845	3.7492	0.7671	1.91	6005.2727	1.8639	d_Bacteria;p_Aquificota;c_Aquificae;o_Aquificales
o_Pedosphaerales	227.2719	1647.6335	7229.5474	5440.1954	1612.3184	7952.0896	4563.7373	0	2816.0815	255.1169	8.8122	84.5144	72.8909	5028.0885	2.7157	d_Bacteria;p_Verrucomicrobiota;c_Verrucomicrobiae;o_Pedosphaerales
o_Tissierellales	836.2543	1944.876	4392.234	3781.3042	2338.1646	5007.0015	4978.4322	1693.2713	1865.0971	454.3352	1313.9177	369.1873	2924.472	2302.8111	1541.53	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Tissierellales
o_Unclassified_c_Bacilli	562.7177	520.203	3051.4187	2816.1189	771.8031	2615.8549	2248.6831	2071.5687	1503.3695	5107.8321	767.4363	3527.681	5919.6152	1971.7688	1153.9528	d_Bacteria;p_Firmicutes;c_Bacilli;o_Unclassified_c_Bacilli
o_Bacteriovoracales	245.6659	2491.2006	6697.3191	6617.6013	1569.2804	5847.6872	4220.9161	14.8423	1348.3516	190.3724	0	2.3523	40.4516	5070.8084	0	d_Bacteria;p_Bdellovibrionota;c_Bacteriovoracia;o_Bacteriovoracales
o_Unclassified_c_Bacteroidia	227.6729	1917.8169	5127.9022	5864.3109	1149.5774	5590.0431	4034.2713	254.2303	1912.3105	160.5731	45.3091	2716.8837	149.7007	3014.0604	156.2225	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Unclassified_c_Bacteroidia
o_Oscillospirales	1243.3319	2663.0624	3114.4786	4585.6889	1776.1129	5134.5983	3088.4424	642.8579	1438.3917	482.9402	1107.3118	226.026	1105.1614	2548.9759	270.617	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales
o_SAR324	4234.5838	234.0324	776.4028	697.1919	579.6234	1241.9213	652.7547	0	8676.5926	0	1.9613	28.595	5.9796	5941.8315	2.0996	d_Bacteria;p_SAR324;c_SAR324;o_SAR324
o_Unclassified_p_Myxococcota	163.8502	946.7377	3916.3695	4672.017	644.4824	4835.3673	2766.4022	11.7826	1068.3255	278.1648	1.0036	0.8157	20.5874	3534.6243	0.5176	d_Bacteria;p_Myxococcota;c_Unclassified_p_Myxococcota;o_Unclassified_p_Myxococcota
o_Cytophagales	453.3851	1758.1593	3585.448	3742.106	1340.785	2939.2378	2762.6777	152.2499	1985.2567	225.3339	3.4542	99.5131	81.9272	2510.0751	47.4215	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Cytophagales
o_Methylococcales	99.0934	615.0731	2679.598	5189.1541	784.4315	3295.7712	2689.172	25.0371	1713.1168	63.7273	10.4014	64.3927	78.3491	1684.1862	66.3575	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Methylococcales
o_Myxococcales	138.2155	1455.7581	3793.1343	3693.8345	854.6696	2739.0781	1753.8476	20.803	1193.6672	460.0368	15.1512	93.2115	0	1916.1722	3.358	d_Bacteria;p_Myxococcota;c_Myxococcia;o_Myxococcales
o_UBA796	619.8299	2620.3761	2616.5564	2825.077	712.2478	3073.9764	2176.4132	15.1069	905.2154	579.7092	8.1484	0	0.9145	1953.1437	0.2766	d_Bacteria;p_Myxococcota A;c_UBA796;o_UBA796
o_Unclassified_p_Actinobacteriota	2183.51	3250.0599	1160.4148	1764.6092	787.5379	947.1759	1035.9567	160.3087	851.9609	833.1	26.2792	379.4235	413.6109	469.2454	2040.169	d_Bacteria;p_Actinobacteriota;c_Unclassified_p_Actinobacteriota;o_Unclassified_p_Actinobacteriota
o_Polyangiales	251.374	432.6591	2852.3996	2070.3264	568.7478	2889.0334	3371.2464	0	815.0012	256.3985	0.9751	0	24.5743	2544.4906	9.6858	d_Bacteria;p_Myxococcota;c_Polyangia;o_Polyangiales
o_Opitutales	162.2163	3517.6617	1772.4395	2455.4942	1062.1774	1643.2928	1501.7987	233.5642	946.2772	220.3602	10.8752	74.4448	52.2769	1068.7314	9.0116	d_Bacteria;p_Verrucomicrobiota;c_Verrucomicrobiae;o_Opitutales
o_Bryobacterales	390.7881	5455.7637	1647.4955	713.9548	715.0724	478.3702	2679.1772	45.9337	401.5172	371.38	2.2587	10.5126	0	781.3831	22.7316	d_Bacteria;p_Acidobacteriota;c_Acidobacteriae;o_Bryobacterales
o_Anaerolineales	246.3869	997.3936	1826.0657	2165.1955	181.5224	2131.1896	1833.9209	22.1077	548.8776	25.5672	3.1059	1.3102	0	2118.4071	0.5996	d_Bacteria;p_Chloroflexota;c_Anaerolineae;o_Anaerolineales
o_Fibrobacterales	16.8672	0	2809.6396	2624.0878	348.854	2236.6401	1378.4762	0	822.9809	0	2.3717	0	0	1501.6144	0.2588	d_Bacteria;p_Fibrobacterota;c_Fibrobacteria;o_Fibrobacterales
o_Acidimicrobiales	331.3076	1022.0599	1879.9831	1038.8193	649.9286	1777.0723	1360.0735	30.9067	1603.6899	364.3636	0	31.9211	5.9796	1143.6421	257.8792	d_Bacteria;p_Actinobacteriota;c_Acidimicrobiia;o_Acidimicrobiales
o_Ignavibacteriales	0	0	2540.8893	1757.3664	495.0993	3196.0546	941.7922	0	623.8738	66.0267	0	0	0	1770.5503	0	d_Bacteria;p_Bacteroidota;c_Ignavibacteria;o_Ignavibacteriales
o_Verrucomicrobiales	40.1376	128.7537	1031.3403	2325.8324	458.7332	2938.7378	2030.5687	0	744.5727	166.7325	8.2854	91.9528	0	1391.8665	8.1296	d_Bacteria;p_Verrucomicrobiota;c_Verrucomicrobiae;o_Verrucomicrobiales
o_Sphingobacteriales	176.3201	356.8194	1940.3587	1942.0724	667.4526	1792.7027	1448.364	5.655	869.0645	11.4164	6.7094	180.016	0	1937.4707	10.4501	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Sphingobacteriales
o_Unclassified_c_Cyanobacteriia	145.5673	841.8844	1281.8968	2554.6665	372.213	1930.8615	1684.7544	0	1454.3134	110.7027	1.3009	1.923	32.606	677.5882	0	d_Bacteria;p_Cyanobacteria;c_Cyanobacteriia;o_Unclassified_c_Cyanobacteriia
o_Streptosporangiales	856.3349	2914.4318	613.6365	809.0096	766.5318	1005.1297	1605.8909	43.6977	862.1989	331.9895	2.7034	39.0997	121.9257	638.2903	140.5395	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Streptosporangiales
o_Chlamydiales	70.9826	482.0818	2219.6078	993.4194	921.0697	1542.8399	1933.6842	0	1153.4962	229.6277	6.2449	23.8572	7.4384	641.4988	2.5018	d_Bacteria;p_Chlamydiota;c_Chlamydiia;o_Chlamydiales
o_Bacillales A	31.6017	0	1265.6849	2043.9807	302.259	2209.9126	964.1292	27.6762	350.3892	13.0973	322.1108	3.2336	125.1403	1407.9313	204.2454	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales A
o_Saccharimonadales	3573.3003	881.304	289.1455	749.5905	98.7074	129.8114	844.1009	497.6992	1016.9378	263.1891	40.4349	0.6918	10.095	476.4947	45.739	d_Bacteria;p_Patescibacteria;c_Saccharimonadia;o_Saccharimonadales
o_Rickettsiales	202.5171	2610.4443	952.6929	99.2463	681.9767	166.0378	2830.4798	97.6872	562.8252	256.1267	39.8433	1.642	9.0372	262.526	4.2476	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rickettsiales
o_Acetobacterales	99.3945	384.2258	311.7865	1804.4019	705.6319	1590.5827	1587.5071	5.8425	290.5341	222.5107	2.2637	405.7095	13.1691	904.5885	253.17	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Acetobacterales
o_Caldilineales	120.0497	887.4399	542.4308	1678.069	238.9011	2580.7755	729.1135	0	396.4799	150.2543	0	0	0	1197.0858	0	d_Bacteria;p_Chloroflexota;c_Anaerolineae;o_Caldilineales
o_Synergistales	46.9305	85.3498	770.6002	1236.9155	360.3469	2237.613	1601.145	75.5941	209.5925	14.8771	48.505	3.2453	6.9353	1038.4426	10.2031	d_Bacteria;p_Synergistota;c_Synergistia;o_Synergistales
o_Nanopelagicales	1008.2586	139.4507	1179.1596	1016.9038	115.2478	712.5589	438.229	29.4653	1018.8289	25.8494	0.4329	6.0259	67.9644	1635.0111	252.349	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Nanopelagicales
o_Unclassified_c_Polyangia	201.1573	1523.5046	705.2936	1512.5666	251.7537	956.6552	1414.2757	0	552.6929	80.9388	1.6058	0	0	419.3049	0.4141	d_Bacteria;p_Myxococcota;c_Polyangia;o_Unclassified_c_Polyangia
o_Kapabacteriales	0	96.4386	1176.3504	1521.4904	266.3501	1390.6974	1084.979	0	303.0177	0	10.4337	5.1344	20.1627	1665.2602	3.8342	d_Bacteria;p_Bacteroidota;c_Kapabacteria;o_Kapabacteriales
o_Gemmatimonadales	130.8962	580.9925	1450.9251	1746.2759	58.9469	1094.63	1026.0116	0	257.0161	78.4036	0	9.7827	0	1086.0101	7.362	d_Bacteria;p_Gemmatimonadota;c_Gemmatimonadetes;o_Gemmatimonadales
o_Staphylococcales	354.1651	869.9258	1299.6624	777.8148	454.0923	1409.1133	563.8494	0	737.8461	171.584	20.9172	1.5372	86.8242	572.6683	192.9893	d_Bacteria;p_Firmicutes;c_Bacilli;o_Staphylococcales
o_Bacillales G	55.1932	430.9966	793.2392	1792.6472	219.3127	1838.7217	615.4025	0	914.5284	81.6738	0	0	0	694.205	13.5309	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales G
o_Magnetococcales	108.2788	465.6919	746.9024	1376.8133	748.9262	1016.6616	1376.4208	7.8623	428.1365	0	0	18.2435	25.4259	931.0096	0	d_Bacteria;p_Proteobacteria;c_Magnetococcia;o_Magnetococcales
o_Rhodospirillales	25.2056	0	1110.841	1129.5403	295.8735	1929.2198	995.6994	0	740.4847	28.319	9.03	51.5347	6.3182	540.6884	258.5887	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodospirillales
o_Bacillales H	0	48.6986	1546.2861	455.9634	228.8542	993.8625	1072.6807	56.5213	171.5846	545.9651	121.346	297.7717	209.6758	855.6243	15.7531	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales H
o_Aggregatilineales	33.8678	0	1475.081	737.6146	520.3024	1326.6669	1094.2199	0	465.9887	50.2321	0	5.8807	16.866	803.984	13.2064	d_Bacteria;p_Chloroflexota;c_Anaerolineae;o_Aggregatilineales
o_Haloplasmatales A	53.5626	751.5298	621.0915	1387.0378	42.0409	1417.186	608.9839	19.328	341.249	103.6915	64.7803	0	16.6722	761.5601	11.8216	d_Bacteria;p_Firmicutes;c_Bacilli;o_Haloplasmatales A
o_Treponematales	44.0502	48.3621	352.8055	1181.6011	268.2362	1344.992	673.8926	101.9497	509.9789	12.6448	0.4899	4.6477	28.6733	1424.2897	23.3536	d_Bacteria;p_Spirochaetota;c_Spirochaetia;o_Treponematales
