family	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
f_Alcanivoracaceae	1013.6866	54.9696	27712.045	30701.4916	5449.2408	28955.808	19316.0138	1.2537	11720.0079	0	19.4593	28.6169	209.7685	22126.3182	7.4649	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Alcanivoracaceae
f_Paenibacillaceae	11161.2791	55445.8413	6518.5616	1386.3812	22257.1714	1605.2403	22643.3252	910.2687	4668.0594	10048.508	366.6561	329.5388	995.462	4839.2984	135.9103	d_Bacteria;p_Firmicutes;c_Bacilli;o_Paenibacillales;f_Paenibacillaceae
f_Actinomycetaceae	16266.7496	12577.4305	191.4453	3.1189	1634.9246	468.099	1480.1265	925.4739	7586.1282	18958.5775	576.5527	4760.9396	34714.0008	598.1698	41655.3253	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Actinomycetaceae
f_Dermabacteraceae	41101.6198	20278.0301	447.2577	19.6344	1136.9687	372.9313	4058.6372	1072.9443	34430.9902	15539.511	209.8055	1327.1495	13194.7796	349.738	3493.9364	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Dermabacteraceae
f_Dermatophilaceae	87548.4932	4706.4311	670.7815	657.5339	599.299	760.8772	460.7439	5877.158	917.516	1132.1373	196.0652	578.6943	1915.2449	7137.4619	3670.5643	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Dermatophilaceae
f_Marinifilaceae	255.611	0	21423.1454	23569.6976	4022.2917	22342.1368	12623.242	0	4159.0129	0	38.373	13.6143	223.1746	17448.0603	8.0091	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Marinifilaceae
f_Caulobacteraceae	2819.1274	864.3227	319.2597	207.9661	217.5715	350.9688	559.1339	294.4185	272.2818	588.2018	47.8706	89659.5212	2569.6427	319.7698	4657.6523	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae
f_Beijerinckiaceae	308.6202	439.879	17161.8059	19499.9258	3365.8129	17902.4084	9342.192	10.4365	5545.2882	200.7089	100.4044	2742.023	162.9107	13974.4699	881.5389	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Beijerinckiaceae
f_Cellulosilyticaceae	452.0896	393.9685	12012.6937	14225.76	2668.0519	15276.8255	8986.3035	240.996	4805.9658	97.4345	171.9933	6.4971	124.7467	13428.513	87.5487	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Cellulosilyticaceae
f_UBA1444	380.624	17.6253	9345.8077	13143.9249	3568.3754	12013.1269	6590.5094	9.2148	4994.77	0	18.0039	13.685	88.7977	9486.8013	16.1418	d_Bacteria;p_Firmicutes C;c_Negativicutes;o_UBA1444;f_UBA1444
f_Unclassified_c_Alphaproteobacteria	3146.1895	1519.6576	3344.7532	1998.4882	1985.5731	2758.6181	2616.9454	115.2586	1606.4161	780.76	29.7707	14004.2288	865.2026	2064.3853	21340.3184	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Unclassified_c_Alphaproteobacteria;f_Unclassified_c_Alphaproteobacteria
f_Flavobacteriaceae	425.9159	780.2265	12265.1876	11426.7842	2337.2109	12650.7407	6715.1394	187.5274	1381.7024	115.3678	149.6031	530.9938	116.4449	7151.0834	60.3406	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Flavobacteriales;f_Flavobacteriaceae
f_Rhizobiaceae	2097.7722	791.2147	1775.8007	1261.9228	639.1653	1225.9197	998.3143	112.3505	946.1701	489.3014	38.5994	15689.5172	1445.4892	612.4992	21640.2656	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae
f_Pseudomonadaceae	3370.1713	852.2532	534.1737	661.5952	501.3731	569.7637	465.4452	296.2747	484.3088	406.6219	66.09	8036.3987	5273.3794	468.9781	27582.9472	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae
f_Unclassified_c_Gammaproteobacteria	971.1856	1508.7307	3502.6955	3299.2703	1483.5187	3884.9086	3370.1308	202.5415	2199.8309	456.5395	5413.1808	8550.0865	1974.6294	3700.1679	2706.3359	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Unclassified_c_Gammaproteobacteria;f_Unclassified_c_Gammaproteobacteria
f_Sphingomonadaceae	5544.2406	5434.0332	993.4068	1236.7239	1603.2842	1253.3423	1856.9485	339.538	929.8679	1428.8454	31.9672	19802.7923	258.278	1119.9878	812.617	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae
f_Unclassified_c_Clostridia	2006.2021	283.9123	671.3087	1540.5369	282.7069	1747.795	1604.9395	11946.9488	452.8663	320.2626	5806.4327	247.4984	6092.0806	1113.5385	2056.1961	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Unclassified_c_Clostridia;f_Unclassified_c_Clostridia
f_Lachnospiraceae	1759.3731	9269.324	2610.001	3319.6506	3281.1603	2807.8011	3655.1238	1199.4819	1249.4962	1195.8414	1509.6666	65.66	1058.1314	2473.7365	344.8319	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae
