KEGG_L1	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107
Metabolism	14138.2217	10590.9956	6115.3934	5015.1098	12470.2541	4870.5769	7666.1794	13388.7821	7374.4085	14761.3941	15058.4321	15619.3406	14366.3791	8353.5336	14874.9684
Genetic Information Processing	3119.4454	1731.8797	1410.0948	985.2413	4058.6024	965.6442	1527.0566	3532.5638	1878.6739	4566.3574	2664.872	3181.2763	3670.4955	2179.1649	2495.0577
Human Diseases	1919.3333	4450.7467	8174.8473	8935.4801	3574.2061	8282.4009	8318.5043	707.7791	3308.2716	1860.0048	851.4776	1024.0664	1104.4359	6173.4876	1146.2331
Environmental Information Processing	976.7771	1829.3818	2519.8743	2592.0461	1137.2336	2415.5716	2404.3606	1156.0576	1169.7264	1413.6955	1414.227	987.1066	1017.5252	1800.4079	759.2939
Cellular Processes	1091.5712	1310.0501	2583.1687	2924.1512	2638.8869	2689.0724	2428.2314	737.7628	1094.5618	959.6566	1942.1292	1717.7414	1271.5453	2545.725	1310.0506
Organismal Systems	1773.6393	6250.9332	9084.6094	10393.1912	3347.1534	9527.2697	8691.4143	639.8674	3848.24	1796.176	706.2702	824.6186	385.9207	6819.7137	696.629
