#ID	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107
Bacteria.Campylobacterota.Campylobacteria.Campylobacterales.Helicobacteraceae.Helicobacter_G.unclassified_Helicobacter_G	162	910	1007	77	22	518	12467	22	12536	7756
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Pseudomonadaceae.Pseudomonas_E.unclassified_Pseudomonas_E	21	9	116	50	31	22	5240	636	6	70567
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales_A.Rhizobiaceae_A.Ochrobactrum_A.Ochrobactrum_A_quorumnocens	1	1	0	2	9	5	739	56	0	74855
Bacteria.Proteobacteria.Gammaproteobacteria.unclassified_Gammaproteobacteria.unclassified_Gammaproteobacteria.unclassified_Gammaproteobacteria.unclassified_Gammaproteobacteria	346	384	118	473	63	22348	23067	957	341	25451
Bacteria.Fusobacteriota.Fusobacteriia.Fusobacteriales.Fusobacteriaceae.Cetobacterium_A.unclassified_Cetobacterium_A	10	87	53821	7	290	4838	1679	7930	1279	508
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales_A.Rhizobiaceae_A.Pseudochrobactrum.Pseudochrobactrum_saccharolyticum	0	0	2	19	3	6	264	91	0	68657
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Burkholderiaceae.Alcaligenes.Alcaligenes_pakistanensis	2	7	3	1	7	19	184	108	0	66743
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Ligilactobacillus.Ligilactobacillus_aviarius_B	12	440	7814	169	11041	3748	39306	958	40	46
Bacteria.Firmicutes_A.Clostridia.Peptostreptococcales.Peptostreptococcaceae.Paraclostridium.Paraclostridium_sordellii	3	366	33391	6	35	20100	56	2229	104	5837
Bacteria.Proteobacteria.Gammaproteobacteria.Xanthomonadales.Xanthomonadaceae.Stenotrophomonas.Stenotrophomonas_maltophilia	0	1	70	5	3	7	679	597	0	60412
Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.Paracoccus.Paracoccus_sulfuroxidans	5	2	73	43	2997	62	45094	814	2	10600
Bacteria.Proteobacteria.Gammaproteobacteria.Xanthomonadales.Xanthomonadaceae.Stenotrophomonas.Stenotrophomonas_maltophilia_L	2	3	39	30	3	9	746	547	0	59336
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Rhizobiaceae.Shinella.unclassified_Shinella	1	2	25	20	58	13	15074	190	1	44166
Bacteria.Firmicutes.Bacilli.Lactobacillales.Catellicoccaceae.Catellicoccus.Catellicoccus_marimammalium	440	527	1184	1	19	338	72	47141	2182	88
