#ID	domain	phylum	class	order	family	genus	species
Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.Paracoccus.unclassified_Paracoccus	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Paracoccus	s__unclassified_Paracoccus
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales_A.Rhizobiaceae_A.unclassified_Rhizobiaceae_A.unclassified_Rhizobiaceae_A	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales_A	f__Rhizobiaceae_A	g__unclassified_Rhizobiaceae_A	s__unclassified_Rhizobiaceae_A
Bacteria.Proteobacteria.Gammaproteobacteria.Xanthomonadales.Xanthomonadaceae.Stenotrophomonas.unclassified_Stenotrophomonas	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Stenotrophomonas	s__unclassified_Stenotrophomonas
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Microbacteriaceae.unclassified_Microbacteriaceae.unclassified_Microbacteriaceae	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__unclassified_Microbacteriaceae	s__unclassified_Microbacteriaceae
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Actinomycetaceae.Boudabousia.Boudabousia_marimammalium	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Boudabousia	s__Boudabousia_marimammalium
Bacteria.Firmicutes_A.Clostridia.Peptostreptococcales.Peptostreptococcaceae.Paraclostridium.Paraclostridium_tenue	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Paraclostridium	s__Paraclostridium_tenue
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales_A.Rhizobiaceae_A.Paenochrobactrum.Paenochrobactrum_gallinarii	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales_A	f__Rhizobiaceae_A	g__Paenochrobactrum	s__Paenochrobactrum_gallinarii
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.unclassified_Actinomycetales.unclassified_Actinomycetales.unclassified_Actinomycetales	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__unclassified_Actinomycetales	g__unclassified_Actinomycetales	s__unclassified_Actinomycetales
Bacteria.Proteobacteria.Gammaproteobacteria.Xanthomonadales.Xanthomonadaceae.Lysobacter.Lysobacter_sp015209725	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Lysobacter	s__Lysobacter_sp015209725
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Actinomycetaceae.Flaviflexus.Flaviflexus_huanghaiensis	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Flaviflexus	s__Flaviflexus_huanghaiensis
