#ID	ADU	SEN
Metabolism.Carbohydrate_metabolism.Pyruvate_metabolism	111.5436	185.62336
Metabolism.Xenobiotics_biodegradation_and_metabolism.Dioxin_degradation	17.7929	14.40194
Metabolism.Xenobiotics_biodegradation_and_metabolism.Xylene_degradation	0.0	17.83634
Metabolism.Xenobiotics_biodegradation_and_metabolism.Aminobenzoate_degradation	12.52382	29.177660000000003
Metabolism.Carbohydrate_metabolism.Glyoxylate_and_dicarboxylate_metabolism	78.43778	191.15874000000002
Metabolism.Xenobiotics_biodegradation_and_metabolism.Nitrotoluene_degradation	20.60648	59.80086
Metabolism.Carbohydrate_metabolism.Propanoate_metabolism	87.62676	167.16516
Metabolism.Xenobiotics_biodegradation_and_metabolism.Styrene_degradation	2.77812	33.95308
Metabolism.Carbohydrate_metabolism.Butanoate_metabolism	70.01924	138.28692
Metabolism.Carbohydrate_metabolism.C5__Branched_dibasic_acid_metabolism	63.482079999999996	165.19616000000002
Metabolism.Metabolism_of_cofactors_and_vitamins.One_carbon_pool_by_folate	110.84926	192.77922
Metabolism.Energy_metabolism.Methane_metabolism	58.159000000000006	84.60222
Metabolism.Energy_metabolism.Carbon_fixation_in_photosynthetic_organisms	168.62892	248.62098
Metabolism.Energy_metabolism.Carbon_fixation_pathways_in_prokaryotes	32.405060000000006	125.94257999999999
Metabolism.Metabolism_of_cofactors_and_vitamins.Thiamine_metabolism	150.56037999999998	238.22742000000002
Metabolism.Metabolism_of_cofactors_and_vitamins.Riboflavin_metabolism	54.84228	119.25316000000001
Metabolism.Metabolism_of_cofactors_and_vitamins.Vitamin_B6_metabolism	55.10132	152.56482
Metabolism.Metabolism_of_cofactors_and_vitamins.Nicotinate_and_nicotinamide_metabolism	57.66432	115.6308
Metabolism.Metabolism_of_cofactors_and_vitamins.Pantothenate_and_CoA_biosynthesis	101.9468	253.5978
Metabolism.Metabolism_of_cofactors_and_vitamins.Biotin_metabolism	150.09818	307.99404
Metabolism.Metabolism_of_cofactors_and_vitamins.Lipoic_acid_metabolism	38.11126	80.47292
Metabolism.Metabolism_of_cofactors_and_vitamins.Folate_biosynthesis	71.18772000000001	149.7773
Metabolism.Metabolism_of_cofactors_and_vitamins.Retinol_metabolism	26.64878	22.869180000000004
Metabolism.Metabolism_of_cofactors_and_vitamins.Porphyrin_metabolism	56.209140000000005	121.72842
Metabolism.Metabolism_of_terpenoids_and_polyketides.Terpenoid_backbone_biosynthesis	94.83192	163.49970000000002
Metabolism.Metabolism_of_terpenoids_and_polyketides.Limonene_and_pinene_degradation	0.0	112.4496
Metabolism.Energy_metabolism.Nitrogen_metabolism	49.653980000000004	117.27284
Metabolism.Energy_metabolism.Sulfur_metabolism	31.908480000000004	109.79908
Metabolism.Xenobiotics_biodegradation_and_metabolism.Caprolactam_degradation	15.56986	44.58612
Metabolism.Biosynthesis_of_other_secondary_metabolites.Tropane,_piperidine_and_pyridine_alkaloid_biosynthesis	13.94098	35.75848
Genetic_Information_Processing.Translation.Aminoacyl__tRNA_biosynthesis	190.23152	262.4413
Metabolism.Xenobiotics_biodegradation_and_metabolism.Metabolism_of_xenobiotics_by_cytochrome_P450	18.29922	47.48252
Metabolism.Xenobiotics_biodegradation_and_metabolism.Drug_metabolism__other_enzymes	196.13914	297.41486
Metabolism.Xenobiotics_biodegradation_and_metabolism.Steroid_degradation	7.942220000000001	21.299960000000002
Metabolism.Lipid_metabolism.Biosynthesis_of_unsaturated_fatty_acids	19.07452	20.85368
Metabolism.Metabolism_of_terpenoids_and_polyketides.Biosynthesis_of_siderophore_group_nonribosomal_peptides	15.31984	27.868299999999998
Human_Diseases.Drug_resistance_antimicrobial.beta__Lactam_resistance	0.0	46.2807
Human_Diseases.Drug_resistance_antimicrobial.Vancomycin_resistance	0.0	160.85876
Human_Diseases.Drug_resistance_antimicrobial.Cationic_antimicrobial_peptide_(CAMP)_resistance	18.189140000000002	97.42891999999999
Human_Diseases.Drug_resistance_antineoplastic.Endocrine_resistance	14.788400000000001	21.094600000000003
Human_Diseases.Drug_resistance_antineoplastic.Antifolate_resistance	75.1426	107.47736
Human_Diseases.Drug_resistance_antineoplastic.Platinum_drug_resistance	23.04882	25.75356
Environmental_Information_Processing.Membrane_transport.ABC_transporters	42.532920000000004	132.02038
