#ID	first	second	third
Environmental_Information_Processing.Signal_transduction.cGMP__PKG_signaling_pathway	L1__Environmental_Information_Processing	L2__Signal_transduction	L3__cGMP__PKG_signaling_pathway
Environmental_Information_Processing.Signal_transduction.cAMP_signaling_pathway	L1__Environmental_Information_Processing	L2__Signal_transduction	L3__cAMP_signaling_pathway
Environmental_Information_Processing.Signal_transduction.HIF__1_signaling_pathway	L1__Environmental_Information_Processing	L2__Signal_transduction	L3__HIF__1_signaling_pathway
Environmental_Information_Processing.Signal_transduction.FoxO_signaling_pathway	L1__Environmental_Information_Processing	L2__Signal_transduction	L3__FoxO_signaling_pathway
Environmental_Information_Processing.Signal_transduction.Phosphatidylinositol_signaling_system	L1__Environmental_Information_Processing	L2__Signal_transduction	L3__Phosphatidylinositol_signaling_system
Environmental_Information_Processing.Signal_transduction.Phospholipase_D_signaling_pathway	L1__Environmental_Information_Processing	L2__Signal_transduction	L3__Phospholipase_D_signaling_pathway
Cellular_Processes.Cell_growth_and_death.Cell_cycle__Caulobacter	L1__Cellular_Processes	L2__Cell_growth_and_death	L3__Cell_cycle__Caulobacter
Cellular_Processes.Cell_growth_and_death.p53_signaling_pathway	L1__Cellular_Processes	L2__Cell_growth_and_death	L3__p53_signaling_pathway
Genetic_Information_Processing.Folding,_sorting_and_degradation.Ubiquitin_mediated_proteolysis	L1__Genetic_Information_Processing	L2__Folding,_sorting_and_degradation	L3__Ubiquitin_mediated_proteolysis
Genetic_Information_Processing.Folding,_sorting_and_degradation.Sulfur_relay_system	L1__Genetic_Information_Processing	L2__Folding,_sorting_and_degradation	L3__Sulfur_relay_system
Genetic_Information_Processing.Folding,_sorting_and_degradation.Protein_processing_in_endoplasmic_reticulum	L1__Genetic_Information_Processing	L2__Folding,_sorting_and_degradation	L3__Protein_processing_in_endoplasmic_reticulum
Cellular_Processes.Transport_and_catabolism.Lysosome	L1__Cellular_Processes	L2__Transport_and_catabolism	L3__Lysosome
Cellular_Processes.Transport_and_catabolism.Phagosome	L1__Cellular_Processes	L2__Transport_and_catabolism	L3__Phagosome
Cellular_Processes.Transport_and_catabolism.Peroxisome	L1__Cellular_Processes	L2__Transport_and_catabolism	L3__Peroxisome
Environmental_Information_Processing.Signal_transduction.PI3K__Akt_signaling_pathway	L1__Environmental_Information_Processing	L2__Signal_transduction	L3__PI3K__Akt_signaling_pathway
Environmental_Information_Processing.Signal_transduction.AMPK_signaling_pathway	L1__Environmental_Information_Processing	L2__Signal_transduction	L3__AMPK_signaling_pathway
Cellular_Processes.Cell_growth_and_death.Apoptosis	L1__Cellular_Processes	L2__Cell_growth_and_death	L3__Apoptosis
Organismal_Systems.Aging.Longevity_regulating_pathway	L1__Organismal_Systems	L2__Aging	L3__Longevity_regulating_pathway
Organismal_Systems.Aging.Longevity_regulating_pathway__worm	L1__Organismal_Systems	L2__Aging	L3__Longevity_regulating_pathway__worm
Organismal_Systems.Aging.Longevity_regulating_pathway__multiple_species	L1__Organismal_Systems	L2__Aging	L3__Longevity_regulating_pathway__multiple_species
Cellular_Processes.Cell_growth_and_death.Apoptosis__fly	L1__Cellular_Processes	L2__Cell_growth_and_death	L3__Apoptosis__fly
Cellular_Processes.Cell_growth_and_death.Ferroptosis	L1__Cellular_Processes	L2__Cell_growth_and_death	L3__Ferroptosis
Cellular_Processes.Cell_growth_and_death.Necroptosis	L1__Cellular_Processes	L2__Cell_growth_and_death	L3__Necroptosis
Organismal_Systems.Circulatory_system.Cardiac_muscle_contraction	L1__Organismal_Systems	L2__Circulatory_system	L3__Cardiac_muscle_contraction
Organismal_Systems.Circulatory_system.Adrenergic_signaling_in_cardiomyocytes	L1__Organismal_Systems	L2__Circulatory_system	L3__Adrenergic_signaling_in_cardiomyocytes
Organismal_Systems.Circulatory_system.Vascular_smooth_muscle_contraction	L1__Organismal_Systems	L2__Circulatory_system	L3__Vascular_smooth_muscle_contraction
Environmental_Information_Processing.Signal_transduction.Notch_signaling_pathway	L1__Environmental_Information_Processing	L2__Signal_transduction	L3__Notch_signaling_pathway
Environmental_Information_Processing.Signal_transduction.Hedgehog_signaling_pathway	L1__Environmental_Information_Processing	L2__Signal_transduction	L3__Hedgehog_signaling_pathway
