#ID	first	second	third
Metabolism.Carbohydrate_metabolism.Glycolysis_Gluconeogenesis	L1__Metabolism	L2__Carbohydrate_metabolism	L3__Glycolysis_Gluconeogenesis
Metabolism.Carbohydrate_metabolism.Citrate_cycle_(TCA_cycle)	L1__Metabolism	L2__Carbohydrate_metabolism	L3__Citrate_cycle_(TCA_cycle)
Metabolism.Carbohydrate_metabolism.Pentose_phosphate_pathway	L1__Metabolism	L2__Carbohydrate_metabolism	L3__Pentose_phosphate_pathway
Metabolism.Carbohydrate_metabolism.Pentose_and_glucuronate_interconversions	L1__Metabolism	L2__Carbohydrate_metabolism	L3__Pentose_and_glucuronate_interconversions
Metabolism.Carbohydrate_metabolism.Fructose_and_mannose_metabolism	L1__Metabolism	L2__Carbohydrate_metabolism	L3__Fructose_and_mannose_metabolism
Metabolism.Carbohydrate_metabolism.Galactose_metabolism	L1__Metabolism	L2__Carbohydrate_metabolism	L3__Galactose_metabolism
Metabolism.Carbohydrate_metabolism.Ascorbate_and_aldarate_metabolism	L1__Metabolism	L2__Carbohydrate_metabolism	L3__Ascorbate_and_aldarate_metabolism
Metabolism.Lipid_metabolism.Fatty_acid_biosynthesis	L1__Metabolism	L2__Lipid_metabolism	L3__Fatty_acid_biosynthesis
Metabolism.Lipid_metabolism.Fatty_acid_elongation	L1__Metabolism	L2__Lipid_metabolism	L3__Fatty_acid_elongation
Metabolism.Lipid_metabolism.Fatty_acid_degradation	L1__Metabolism	L2__Lipid_metabolism	L3__Fatty_acid_degradation
Metabolism.Lipid_metabolism.Primary_bile_acid_biosynthesis	L1__Metabolism	L2__Lipid_metabolism	L3__Primary_bile_acid_biosynthesis
Metabolism.Lipid_metabolism.Secondary_bile_acid_biosynthesis	L1__Metabolism	L2__Lipid_metabolism	L3__Secondary_bile_acid_biosynthesis
Metabolism.Metabolism_of_cofactors_and_vitamins.Ubiquinone_and_other_terpenoid__quinone_biosynthesis	L1__Metabolism	L2__Metabolism_of_cofactors_and_vitamins	L3__Ubiquinone_and_other_terpenoid__quinone_biosynthesis
Metabolism.Lipid_metabolism.Steroid_hormone_biosynthesis	L1__Metabolism	L2__Lipid_metabolism	L3__Steroid_hormone_biosynthesis
Metabolism.Energy_metabolism.Oxidative_phosphorylation	L1__Metabolism	L2__Energy_metabolism	L3__Oxidative_phosphorylation
Metabolism.Amino_acid_metabolism.Arginine_biosynthesis	L1__Metabolism	L2__Amino_acid_metabolism	L3__Arginine_biosynthesis
Metabolism.Nucleotide_metabolism.Purine_metabolism	L1__Metabolism	L2__Nucleotide_metabolism	L3__Purine_metabolism
Metabolism.Nucleotide_metabolism.Pyrimidine_metabolism	L1__Metabolism	L2__Nucleotide_metabolism	L3__Pyrimidine_metabolism
Metabolism.Amino_acid_metabolism.Alanine,_aspartate_and_glutamate_metabolism	L1__Metabolism	L2__Amino_acid_metabolism	L3__Alanine,_aspartate_and_glutamate_metabolism
Metabolism.Amino_acid_metabolism.Glycine,_serine_and_threonine_metabolism	L1__Metabolism	L2__Amino_acid_metabolism	L3__Glycine,_serine_and_threonine_metabolism
Metabolism.Biosynthesis_of_other_secondary_metabolites.Monobactam_biosynthesis	L1__Metabolism	L2__Biosynthesis_of_other_secondary_metabolites	L3__Monobactam_biosynthesis
Metabolism.Amino_acid_metabolism.Cysteine_and_methionine_metabolism	L1__Metabolism	L2__Amino_acid_metabolism	L3__Cysteine_and_methionine_metabolism
Metabolism.Amino_acid_metabolism.Valine,_leucine_and_isoleucine_degradation	L1__Metabolism	L2__Amino_acid_metabolism	L3__Valine,_leucine_and_isoleucine_degradation
Metabolism.Metabolism_of_terpenoids_and_polyketides.Geraniol_degradation	L1__Metabolism	L2__Metabolism_of_terpenoids_and_polyketides	L3__Geraniol_degradation
Metabolism.Amino_acid_metabolism.Valine,_leucine_and_isoleucine_biosynthesis	L1__Metabolism	L2__Amino_acid_metabolism	L3__Valine,_leucine_and_isoleucine_biosynthesis
Metabolism.Amino_acid_metabolism.Lysine_biosynthesis	L1__Metabolism	L2__Amino_acid_metabolism	L3__Lysine_biosynthesis
Metabolism.Amino_acid_metabolism.Lysine_degradation	L1__Metabolism	L2__Amino_acid_metabolism	L3__Lysine_degradation
Metabolism.Biosynthesis_of_other_secondary_metabolites.Penicillin_and_cephalosporin_biosynthesis	L1__Metabolism	L2__Biosynthesis_of_other_secondary_metabolites	L3__Penicillin_and_cephalosporin_biosynthesis
Metabolism.Amino_acid_metabolism.Arginine_and_proline_metabolism	L1__Metabolism	L2__Amino_acid_metabolism	L3__Arginine_and_proline_metabolism
Metabolism.Amino_acid_metabolism.Histidine_metabolism	L1__Metabolism	L2__Amino_acid_metabolism	L3__Histidine_metabolism
Metabolism.Amino_acid_metabolism.Tyrosine_metabolism	L1__Metabolism	L2__Amino_acid_metabolism	L3__Tyrosine_metabolism
Metabolism.Amino_acid_metabolism.Phenylalanine_metabolism	L1__Metabolism	L2__Amino_acid_metabolism	L3__Phenylalanine_metabolism
Metabolism.Xenobiotics_biodegradation_and_metabolism.Chlorocyclohexane_and_chlorobenzene_degradation	L1__Metabolism	L2__Xenobiotics_biodegradation_and_metabolism	L3__Chlorocyclohexane_and_chlorobenzene_degradation
Metabolism.Xenobiotics_biodegradation_and_metabolism.Benzoate_degradation	L1__Metabolism	L2__Xenobiotics_biodegradation_and_metabolism	L3__Benzoate_degradation
Metabolism.Xenobiotics_biodegradation_and_metabolism.Fluorobenzoate_degradation	L1__Metabolism	L2__Xenobiotics_biodegradation_and_metabolism	L3__Fluorobenzoate_degradation
Metabolism.Amino_acid_metabolism.Tryptophan_metabolism	L1__Metabolism	L2__Amino_acid_metabolism	L3__Tryptophan_metabolism
Metabolism.Amino_acid_metabolism.Phenylalanine,_tyrosine_and_tryptophan_biosynthesis	L1__Metabolism	L2__Amino_acid_metabolism	L3__Phenylalanine,_tyrosine_and_tryptophan_biosynthesis
Metabolism.Metabolism_of_other_amino_acids.beta__Alanine_metabolism	L1__Metabolism	L2__Metabolism_of_other_amino_acids	L3__beta__Alanine_metabolism
Metabolism.Metabolism_of_other_amino_acids.Taurine_and_hypotaurine_metabolism	L1__Metabolism	L2__Metabolism_of_other_amino_acids	L3__Taurine_and_hypotaurine_metabolism
Metabolism.Metabolism_of_other_amino_acids.Phosphonate_and_phosphinate_metabolism	L1__Metabolism	L2__Metabolism_of_other_amino_acids	L3__Phosphonate_and_phosphinate_metabolism
Metabolism.Metabolism_of_other_amino_acids.Selenocompound_metabolism	L1__Metabolism	L2__Metabolism_of_other_amino_acids	L3__Selenocompound_metabolism
Metabolism.Metabolism_of_other_amino_acids.D__Amino_acid_metabolism	L1__Metabolism	L2__Metabolism_of_other_amino_acids	L3__D__Amino_acid_metabolism
Metabolism.Metabolism_of_other_amino_acids.Glutathione_metabolism	L1__Metabolism	L2__Metabolism_of_other_amino_acids	L3__Glutathione_metabolism
Metabolism.Carbohydrate_metabolism.Starch_and_sucrose_metabolism	L1__Metabolism	L2__Carbohydrate_metabolism	L3__Starch_and_sucrose_metabolism
Metabolism.Glycan_biosynthesis_and_metabolism.Other_glycan_degradation	L1__Metabolism	L2__Glycan_biosynthesis_and_metabolism	L3__Other_glycan_degradation
Metabolism.Carbohydrate_metabolism.Amino_sugar_and_nucleotide_sugar_metabolism	L1__Metabolism	L2__Carbohydrate_metabolism	L3__Amino_sugar_and_nucleotide_sugar_metabolism
Metabolism.Biosynthesis_of_other_secondary_metabolites.Streptomycin_biosynthesis	L1__Metabolism	L2__Biosynthesis_of_other_secondary_metabolites	L3__Streptomycin_biosynthesis
Metabolism.Metabolism_of_terpenoids_and_polyketides.Polyketide_sugar_unit_biosynthesis	L1__Metabolism	L2__Metabolism_of_terpenoids_and_polyketides	L3__Polyketide_sugar_unit_biosynthesis
Metabolism.Biosynthesis_of_other_secondary_metabolites.Acarbose_and_validamycin_biosynthesis	L1__Metabolism	L2__Biosynthesis_of_other_secondary_metabolites	L3__Acarbose_and_validamycin_biosynthesis
Metabolism.Glycan_biosynthesis_and_metabolism.Glycosaminoglycan_degradation	L1__Metabolism	L2__Glycan_biosynthesis_and_metabolism	L3__Glycosaminoglycan_degradation
Metabolism.Glycan_biosynthesis_and_metabolism.Lipopolysaccharide_biosynthesis	L1__Metabolism	L2__Glycan_biosynthesis_and_metabolism	L3__Lipopolysaccharide_biosynthesis
Metabolism.Glycan_biosynthesis_and_metabolism.O__Antigen_nucleotide_sugar_biosynthesis	L1__Metabolism	L2__Glycan_biosynthesis_and_metabolism	L3__O__Antigen_nucleotide_sugar_biosynthesis
Metabolism.Glycan_biosynthesis_and_metabolism.Exopolysaccharide_biosynthesis	L1__Metabolism	L2__Glycan_biosynthesis_and_metabolism	L3__Exopolysaccharide_biosynthesis
Metabolism.Glycan_biosynthesis_and_metabolism.Peptidoglycan_biosynthesis	L1__Metabolism	L2__Glycan_biosynthesis_and_metabolism	L3__Peptidoglycan_biosynthesis
Metabolism.Glycan_biosynthesis_and_metabolism.Teichoic_acid_biosynthesis	L1__Metabolism	L2__Glycan_biosynthesis_and_metabolism	L3__Teichoic_acid_biosynthesis
Metabolism.Lipid_metabolism.Glycerolipid_metabolism	L1__Metabolism	L2__Lipid_metabolism	L3__Glycerolipid_metabolism
Metabolism.Carbohydrate_metabolism.Inositol_phosphate_metabolism	L1__Metabolism	L2__Carbohydrate_metabolism	L3__Inositol_phosphate_metabolism
Metabolism.Lipid_metabolism.Glycerophospholipid_metabolism	L1__Metabolism	L2__Lipid_metabolism	L3__Glycerophospholipid_metabolism
Metabolism.Lipid_metabolism.Ether_lipid_metabolism	L1__Metabolism	L2__Lipid_metabolism	L3__Ether_lipid_metabolism
Metabolism.Glycan_biosynthesis_and_metabolism.Lipoarabinomannan_(LAM)_biosynthesis	L1__Metabolism	L2__Glycan_biosynthesis_and_metabolism	L3__Lipoarabinomannan_(LAM)_biosynthesis
Metabolism.Glycan_biosynthesis_and_metabolism.Arabinogalactan_biosynthesis__Mycobacterium	L1__Metabolism	L2__Glycan_biosynthesis_and_metabolism	L3__Arabinogalactan_biosynthesis__Mycobacterium
Metabolism.Lipid_metabolism.Arachidonic_acid_metabolism	L1__Metabolism	L2__Lipid_metabolism	L3__Arachidonic_acid_metabolism
Metabolism.Lipid_metabolism.Sphingolipid_metabolism	L1__Metabolism	L2__Lipid_metabolism	L3__Sphingolipid_metabolism
Metabolism.Glycan_biosynthesis_and_metabolism.Glycosphingolipid_biosynthesis__globo_and_isoglobo_series	L1__Metabolism	L2__Glycan_biosynthesis_and_metabolism	L3__Glycosphingolipid_biosynthesis__globo_and_isoglobo_series
Metabolism.Carbohydrate_metabolism.Pyruvate_metabolism	L1__Metabolism	L2__Carbohydrate_metabolism	L3__Pyruvate_metabolism
Metabolism.Xenobiotics_biodegradation_and_metabolism.Dioxin_degradation	L1__Metabolism	L2__Xenobiotics_biodegradation_and_metabolism	L3__Dioxin_degradation
Metabolism.Xenobiotics_biodegradation_and_metabolism.Xylene_degradation	L1__Metabolism	L2__Xenobiotics_biodegradation_and_metabolism	L3__Xylene_degradation
Metabolism.Xenobiotics_biodegradation_and_metabolism.Aminobenzoate_degradation	L1__Metabolism	L2__Xenobiotics_biodegradation_and_metabolism	L3__Aminobenzoate_degradation
Metabolism.Carbohydrate_metabolism.Glyoxylate_and_dicarboxylate_metabolism	L1__Metabolism	L2__Carbohydrate_metabolism	L3__Glyoxylate_and_dicarboxylate_metabolism
Metabolism.Xenobiotics_biodegradation_and_metabolism.Nitrotoluene_degradation	L1__Metabolism	L2__Xenobiotics_biodegradation_and_metabolism	L3__Nitrotoluene_degradation
Metabolism.Carbohydrate_metabolism.Propanoate_metabolism	L1__Metabolism	L2__Carbohydrate_metabolism	L3__Propanoate_metabolism
Metabolism.Xenobiotics_biodegradation_and_metabolism.Styrene_degradation	L1__Metabolism	L2__Xenobiotics_biodegradation_and_metabolism	L3__Styrene_degradation
Metabolism.Carbohydrate_metabolism.Butanoate_metabolism	L1__Metabolism	L2__Carbohydrate_metabolism	L3__Butanoate_metabolism
Metabolism.Carbohydrate_metabolism.C5__Branched_dibasic_acid_metabolism	L1__Metabolism	L2__Carbohydrate_metabolism	L3__C5__Branched_dibasic_acid_metabolism
Metabolism.Metabolism_of_cofactors_and_vitamins.One_carbon_pool_by_folate	L1__Metabolism	L2__Metabolism_of_cofactors_and_vitamins	L3__One_carbon_pool_by_folate
Metabolism.Energy_metabolism.Methane_metabolism	L1__Metabolism	L2__Energy_metabolism	L3__Methane_metabolism
Metabolism.Energy_metabolism.Carbon_fixation_in_photosynthetic_organisms	L1__Metabolism	L2__Energy_metabolism	L3__Carbon_fixation_in_photosynthetic_organisms
Metabolism.Energy_metabolism.Carbon_fixation_pathways_in_prokaryotes	L1__Metabolism	L2__Energy_metabolism	L3__Carbon_fixation_pathways_in_prokaryotes
Metabolism.Metabolism_of_cofactors_and_vitamins.Thiamine_metabolism	L1__Metabolism	L2__Metabolism_of_cofactors_and_vitamins	L3__Thiamine_metabolism
Metabolism.Metabolism_of_cofactors_and_vitamins.Riboflavin_metabolism	L1__Metabolism	L2__Metabolism_of_cofactors_and_vitamins	L3__Riboflavin_metabolism
Metabolism.Metabolism_of_cofactors_and_vitamins.Vitamin_B6_metabolism	L1__Metabolism	L2__Metabolism_of_cofactors_and_vitamins	L3__Vitamin_B6_metabolism
Metabolism.Metabolism_of_cofactors_and_vitamins.Nicotinate_and_nicotinamide_metabolism	L1__Metabolism	L2__Metabolism_of_cofactors_and_vitamins	L3__Nicotinate_and_nicotinamide_metabolism
Metabolism.Metabolism_of_cofactors_and_vitamins.Pantothenate_and_CoA_biosynthesis	L1__Metabolism	L2__Metabolism_of_cofactors_and_vitamins	L3__Pantothenate_and_CoA_biosynthesis
Metabolism.Metabolism_of_cofactors_and_vitamins.Biotin_metabolism	L1__Metabolism	L2__Metabolism_of_cofactors_and_vitamins	L3__Biotin_metabolism
Metabolism.Metabolism_of_cofactors_and_vitamins.Lipoic_acid_metabolism	L1__Metabolism	L2__Metabolism_of_cofactors_and_vitamins	L3__Lipoic_acid_metabolism
Metabolism.Metabolism_of_cofactors_and_vitamins.Folate_biosynthesis	L1__Metabolism	L2__Metabolism_of_cofactors_and_vitamins	L3__Folate_biosynthesis
